编号	名字	描述	图标	部件	品质，引用装备品质表的id	基础属性	关联对应表							
id	name	desc	icon	type	quality	base_stat								
10201001	青铜盔	普通士兵常戴的头盔	青铜盔	TOU_KUI	2	10201001							头	Tou
10201002	青铜甲	普通士兵爱穿的铠甲	青铜甲	KAI_JIA	2	10201002							身	Shen
10201003	青铜腿甲	普通士兵常穿的护腿	青铜腿甲	HU_TUI	2	10201003							腿	Tui
10201004	青铜剑	大批量锻造的青铜剑	青铜剑	WU_QI	2	10201004							剑	Jian
10201005	青铜刀	大批量锻造的青铜刀	青铜刀	WU_QI	2	10201005							刀	Dao
10201006	青铜护符	青铜制作的简单装饰护符	青铜护符	SHI_PIN	2	10201006							护符	Hufu
10201007	青铜戒指	用青铜简单制作的戒指	青铜戒指	SHI_PIN	2	10201007							戒指	Jiezhi
10202001	陨铁盔	陨铁制作的头盔，材料比较珍贵	陨铁盔	TOU_KUI	3	10202001								
10202002	陨铁重甲	陨铁制作的铠甲，材料比较珍贵	陨铁重甲	KAI_JIA	3	10202002								
10202003	陨铁腿甲	陨铁制作的腿甲，材料比较珍贵	陨铁腿甲	HU_TUI	3	10202003								
10202004	陨铁剑	陨铁锻造的剑，比一般青铜剑更具杀伤力	陨铁剑	WU_QI	3	10202004								
10202005	陨铁刀	用陨铁锻造的刀，比一般青铜刀更锋利	陨铁刀	WU_QI	3	10202005								
10202006	陨铁护符	珍贵的陨铁做成的护符	陨铁护符	SHI_PIN	3	10202006								
10202007	陨铁戒指	用一定工艺技术制作的陨铁戒指，有不错的防御效果	陨铁戒指	SHI_PIN	3	10202007								
10203001	龙翔盔	带上此盔如同是巨龙抬头，翱翔天地之间，是世间罕见的珍品	龙翔盔	TOU_KUI	4	10203001								
10203002	龙神战甲	甲身遍布盘龙纹，兼顾了防御力和观赏性的双重需求	龙神战甲	KAI_JIA	4	10203002								
10203003	龙翔腿甲	龙纹的护腿，美观又不失威武	龙翔腿甲	HU_TUI	4	10203003								
10203004	龙泉剑	欧冶子凿开大山，引入龙泉水打造的宝剑，青蛇色剑光代表了，当世金属铸造工艺的最高水准	龙泉剑	WU_QI	4	10203004								
10203005	青龙戟	杆上画有青龙盘桓的兵器，交战时如同一条青龙张牙舞爪，直奔前胸，威力极大	青龙戟	WU_QI	4	10203005								
10203006	龙鳞护符	据说是用巨龙的鳞片制成的护符，蕴含有神奇的力量	龙鳞护符	SHI_PIN	4	10203006								
10203007	龙鳞戒指	据说龙鳞坚硬无比，保护龙身，使得刀剑不能入，用精细的工艺制作成戒指，同样有不错的防御效果	龙鳞戒指	SHI_PIN	4	10203007								
