装备等级，从1开始	"升级消耗的物品个数,升级到这一级所需要的总数"
level	upgrade_cost_coef
1	1
2	2
3	3
4	4
5	5
6	7
7	9
8	11
9	13
10	15
11	18
12	21
13	24
14	27
15	30
16	34
17	38
18	42
19	46
20	50
21	55
22	60
23	65
24	70
25	75
26	81
27	87
28	93
29	99
30	105
31	112
32	119
33	126
34	133
35	140
36	148
37	156
38	164
39	172
40	180
41	189
42	198
43	207
44	216
45	225
46	235
47	245
48	255
49	265
50	275
51	290
52	310
53	335
54	365
55	400
56	440
57	485
58	535
59	590
60	650
61	720
62	800
63	890
64	990
65	1100
66	1220
67	1350
68	1490
69	1640
70	1800
71	1970
72	2150
73	2340
74	2540
75	2750
76	2970
77	3200
78	3440
79	3690
80	3950
81	4220
82	4500
83	4790
84	5090
85	5400
86	5720
87	6050
88	6390
89	6740
90	7100
91	7470
92	7850
93	8240
94	8640
95	9050
96	9470
97	9900
98	10340
99	10790
100	11250
101	11720
102	12200
103	12690
104	13190
105	13700
106	14220
107	14750
108	15290
109	15840
110	16400
111	16970
112	17550
113	18140
114	18740
115	19350
116	19970
117	20600
118	21240
119	21890
120	32021
