"奖励id，id只能够从1开始，逐行+1随着id增加，下一行的level必须>=上一行的level，在上下两行level相同的情况下，下一行的point必须>上一行的point"	需要的军衔等级，配置 jun_xian_level.txt中的level	需要的积分	奖励，配置 prize.txt中的id
id	level	point	prize
1	1	10	12001001
2	1	15	12001002
3	1	20	12001003
4	2	10	12002001
5	2	15	12002002
6	2	20	12002003
7	3	10	12003001
8	3	15	12003002
9	3	20	12003003
10	4	10	12004001
11	4	15	12004002
12	4	20	12004003
13	5	10	12005001
14	5	15	12005002
15	5	20	12005003
16	6	10	12006001
17	6	15	12006002
18	6	20	12006003
19	7	10	12007001
20	7	15	12007002
21	7	20	12007003
22	8	10	12008001
23	8	15	12008002
24	8	20	12008003
