礼包id	礼包名	礼包icon	礼包插画	礼包文本	现价(元宝)，不走cost表了，确定是元宝，否则old_price也无法展示	原价（展示用）	显示的标签（文件路径）	标签内显示的文本	有红热和银亮等折扣标签	标签内折扣值	购买后立即获得的点券	贴脸优先级，取最高值贴脸，如果是0则不贴脸	prize表	该种礼包购买次限（不是一次性购买数量，而是购买次数，每次只能买1个），填0不作限制	客户端排序用	展示奖励	联盟礼包。配 联盟盟友礼包.txt id。没有就留空				
id	name	icon	image	desc	yuanbao_price	old_price	sign_icon	sign_name	discount_icon	discount	dianquan	priority	prize	buy_limit	sort	show_prize	guild_event_prize_id				
13901011	资源礼包	资源储备			60	666			1	0.9	7	100	13901011		30000	13902011	301		君臣经验		0.09
13901012	资源礼包	资源储备			300	2727			1	1.1	27	200	13901012		15000	13902012	302		三色宝石		0.11
13901013	资源礼包	资源储备			980	7538			1	1.3	38	300	13901013		10000	13902013	302		装备锻铸		0.13
13901014	资源礼包	资源储备			1980	13200				1.5	60	400	13901014		7500	13902014	303		武将成长		0.15
13901015	资源礼包	资源储备			3280	19294				1.7	34	500	13901015		6000	13902015	304		兼收并蓄		0.17
13901016	资源礼包	资源储备			6480	34105				1.9	105	600	13901016		5000	13902016	305		综合发展		0.19
13901021	加速礼包	加速建设			60	120			1	5	15	700	13901021		4285	13902021	301		加速建设		0.5
13901022	加速礼包	加速建设			300	545			1	5.5	25	800	13901022		3750	13902022	302		资源储备		0.55
13901023	加速礼包	加速建设			980	1633				6	33	900	13901023		3333	13902023	302				0.6
13901024	加速礼包	加速建设			1980	3046				6.5	54	1000	13901024		3000	13902024	303				0.65
13901025	加速礼包	加速建设			3280	4685				7	76	1100	13901025		2727	13902025	304				0.7
13901026	加速礼包	加速建设			6480	8640				7.5	80	1200	13901026		2500	13902026	305				0.75
13901031	新君礼包	综合发展			60	731			1	0.8	16	2500	13901031		1200	13902031	301				0.08
13901032	新君礼包	综合发展			300	3000			1	1	28	2600	13901032		1153	13902032	302				0.1
13901033	新君礼包	综合发展			980	8166			1	1.2	27	2700	13901033		1111	13902033	302				0.12
13901034	新君礼包	综合发展			1980	14142				1.4	43	2800	13901034		1071	13902034	303				0.14
13901035	新君礼包	综合发展			3280	20500				1.6	76	2900	13901035		1034	13902035	304				0.16
13901036	新君礼包	综合发展			6480	36000				1.8	84	3000	13901036		1000	13902036	305				0.18
13901041	城建礼包	兼收并蓄			60	545			1	1.1	17	1900	13901041		1578	13902041	301				0.11
13901042	城建礼包	兼收并蓄			300	2307			1	1.3	28	2000	13901042		1500	13902042	302				0.13
13901043	城建礼包	兼收并蓄			980	6533			1	1.5	37	2100	13901043		1428	13902043	302				0.15
13901044	城建礼包	兼收并蓄			1980	11647				1.7	43	2200	13901044		1363	13902044	303				0.17
13901045	城建礼包	兼收并蓄			3280	17263				1.9	75	2300	13901045		1304	13902045	304				0.19
13901046	城建礼包	兼收并蓄			6480	30857				2.1	97	2400	13901046		1250	13902046	305				0.21
13901051	钓鱼礼包	武将成长			60	200			1	3	12	1300	13901051		2307	13902051	301				0.3
13901052	钓鱼礼包	武将成长			300	789			1	3.8	37	1400	13901052		2142	13902052	302				0.38
13901053	钓鱼礼包	武将成长			980	1960				5	80	1500	13901053		2000	13902053	302				0.5
13901054	钓鱼礼包	武将成长			1980	3300				6	104	1600	13901054		1875	13902054	303				0.6
13901055	钓鱼礼包	武将成长			3280	4685				7	174	1700	13901055		1764	13902055	304				0.7
13901056	钓鱼礼包	武将成长			6480	8640				7.5	180	1800	13901056		1666	13902056	305				0.75
