问题 ID	类型（暂时没用）	问题	正确答案	错误答案	错误答案
id	type	question	right_answer	wrong_answer	wrong_answer
1	君主	哪一项不是君主升级的作用?	君主变得更帅	提高武将统兵上限	解锁更多武将官职
2	君主	哪一项不会获得君主经验?	出征行军	完成君主任务，领取活跃奖励	升级主城和外城建筑
3	建设	建筑和科技可以连续升级吗?	进入疲劳状态前可连续升级	不能连续升级	可以无限度的升级
4	建设	建筑和科技的效果会在升级后立即生效吗？	会	不会，要等队列倒计时结束	盟友帮助后生效
5	建设	建筑队列什么时候，可以申请联盟帮助？	队列疲劳时	建筑升级时	任何时候
6	四季	关于冬季的效果错误的是？	农场颗粒无收	进攻玩家主城行军变慢	受损繁荣度恢复变快
7	武将	弓将攻击步将表述正确的是？	伤害降低且无法释放克制技	无法对步将造成伤害	无法暴击
8	武将	什么情况下不能调整队伍中的武将阵容？	队伍出征在外	队伍正在主城驻守	士兵数量不足
9	武将	体力属性有什么作用？	小幅提高攻击伤害，增加血量	提高武将统兵	只增加血量
10	武将	下列哪项与敏捷属性有关？	都有影响	命中率和闪避率	暴击、被暴击的伤害系数
11	武将	关于敏捷属性表述错误的是？	高敏捷一回合可攻击多个目标	敏捷高于对方才能暴击	敏捷高于对方才能闪避其攻击
12	武将	哪一项不会让武将获得经验？	进攻其他君主主城	修炼馆里使用经验书	参加千机楼和名士列传的战斗
13	武将	关于武将转生表述错误的是？	武将的能力会倒退	会提升武将成长和成长上限	武将回到1级但属性更高
14	武将	60级武将如何完成第一次转生？	点转生后等几小时或点券加速	点转生后立刻完成	等级满足时自动转生
15	武将	提升武将成长有什么用？	提高各项属性，增强战力	提高武将等级	成为神级武将
16	武将	哪一项不能提高武将成长？	进攻其他君主主城	使用强化符	在单刀赴会中通关战役
18	武将	武将封官有什么用？	增加统兵数量	提高武将等级	提高武将属性
19	武将	武将册封官职需满足什么条件？	该武将功勋达到册封需求	武将必须转生	武将成长较高
20	武将	哪一项不能使武将获得功勋？	参加抗击匈奴	参加单刀赴会并获胜	给武将使用功勋令牌
22	武将	武将克制技能何时触发？	特定回合对克制目标攻击时	每一回合都会出发	完全看脸
23	武将	武将使用经验书获得的经验值和什么有关？	每小时正常修炼经验  	武将职业   	武将等级
24	武将	培养过的武将不想用了怎么办？	重生，返还培养材料	和其他玩家交易	直接卖掉
25	武将	武将重生后会发生什么？	两者都包括	退回1星1阶	返还全部培养材料
26	装备	哪个操作会保留装备且100%返还培养材料？	装备重铸	装备锻造 	装备熔炼 
27	装备	装备升星需要什么材料？	南海奇精	七星砂	元宝
28	装备	武将装备如何达成星级加成？	该武将装备都达到一定星级	武将重生后触发星级加成	装备是橙装
29	装备	关于装备品质表述错误的是？	低品质可以合成出高品质	高品质装备初始属性较高	高品质升星升级提升更多属性
30	宝石	宝石镶嵌有什么限制？	一个部位需镶嵌不同宝石	镶嵌1小时后才能摘下	低等级宝石无法镶嵌
31	宝石	防守类武将（步将，骑将，车将）不推荐镶嵌哪种宝石？	攻击宝石	体力宝石	敏捷宝石
32	国家	如何加入其它国家的联盟？	转国到相应国家再加入	直接在本国申请	让对方盟主邀请自己
33	国家	转国有什么限制？	转国后有冷却时间	一个玩家只能转国三次	需要对方国王批准
34	联盟	升级联盟的作用不包括？	提升联盟声望	提升联盟人数 	贡献商店解锁更多商品 
35	联盟	联盟大宝箱要如何提升奖励？	升级宝箱科技  	升级联盟  	祈祷
36	联盟	下列哪项无法在联盟商店兑换？	装备	强化符	七星砂
37	联盟	哪一项不能获得联盟建设值？	修改联盟公告	捐献资源	联盟达到声望目标
38	联盟	盟主长时间不上线该怎么办？	弹劾盟主，选举新盟主	良禽择木而栖，跳槽	无能为力
39	联盟	联盟声望目标奖励不包含的是？	装备	联盟获得建设值和虎符	盟员获得国君赏赐礼包
40	联盟	哪一项不会提升联盟声望	升级联盟科技	盟员领取横扫俸禄，讨伐	抗击匈奴
41	联盟	联盟升级需要消耗什么？	建设值和时间	虎符	铜币、石料
42	联盟	如何让联盟升级更快？	提前准备下次升级所需建设值	使用加速道具	用点券加速
43	联盟	联盟建设值不足怎么办？	鼓励盟员多捐献	使用点券购买	使用虎符增加
44	联盟	如何集满联盟大宝箱的能量？	盟员领取联盟礼包为其充能	盟员捐献资源	盟主使用银两增加能量
45	联盟	为联盟捐献资源的好处不包括？	让盟主资源变多	自己获得贡献在市集购物	联盟获得建设值用来升级
46	联盟	不会获得联盟贡献的是？	跟盟友吵架	给联盟捐献资源	参加联盟抗击匈奴
47	匈奴	如何开启抗击匈奴？	开服一段时间后系统开启	玩家自己开启	2级以上联盟盟主或副盟开启
48	匈奴	抗击匈奴怎样达到卓越评价？	消灭50支匈奴队伍	消灭匈奴大本营	守住匈奴进攻
49	匈奴	抗击匈奴怎么解锁下一难度？	达到卓越评价	消灭匈奴大本营	守住匈奴进攻
50	匈奴	抗击匈奴反击阶段目标是？	攻破匈奴大营 	潜入匈奴大营 	出征漠北草原
51	匈奴	抗击匈奴防守失败该怎么办？	与盟友合力驱逐匈奴军队	撤兵，等下一次活动	请其他联盟协助
52	匈奴	抗击匈奴高级难度有什么好处？	获得更多联盟贡献	获得更多点券	获得稀有装备
53	背包	背包满了，新的装备进入了临时背包该怎么处理？	铁匠铺中把不需要的装备熔炼	花铜币扩大背包	将多余装备扔掉
54	农场	清除主城势力范围里的暴民有什么用？	使农场土地可以正常生产资源	没什么用，打不打无所谓	防止城里粮食被吃光
55	农场	农场资源成熟后可被其他君主收取几次？	可被3个君主各收取1次	没限制	10次
56	农场	势力冲突后农场资源会怎么样？	势力冲突的地块资源不能生产	被冲突的敌人获得	没影响
57	农场	如何增加农场土地格数?	升级主城	升级官府	升级君主
58	任务	每天活跃100分有什么好处？	获得君主经验和道具	获得稀有装备	能上广播
59	任务	任务中完成各种成就有什么用？	获得点券和各种道具	能上广播	可以兑换各种道具
60	任务	任务系统中佩戴爵位有什么用？	提高所有武将属性	提升君主等级上限	提升武将等级上限
61	任务	关于君主政务说法正确的是？	尽量在刷新前完成	低级品质任务没必要做	只有一批，可以慢慢做
62	社交	什么玩家会自动列入仇人列表？	攻击过您的玩家	侦查过您的玩家	把您设定为仇人的玩家
63	推图	名士列传中第一个得到的武将碎片是？	荆轲碎片	白起碎片	廉颇碎片
64	推图	名士列传中，被越王勾践送到吴国施展美人计的是？	东施	西施 	夏姬
65	推图	名士列传中，什么样的关卡可以进行扫荡？	带有星星的关卡	新关卡可以扫荡	已通关的关卡可以扫荡
67	推图	扫荡名士列传，可以获得？	武将碎片	宝石	装备
68	千机楼	千机楼挑战和扫荡，上场武将可以获得什么？	武将经验	成长值	装备
69	千机楼	千机楼扫荡可以获得什么奖励？	所有打过楼层的奖励	点券	功勋
70	千机楼	千机楼【攻略】-【极限通关】的意思是什么？	该楼层最低战力通关的玩家	该楼层最早的通关玩家	该楼层损失最小的通关玩家
71	千机楼	挑战千机楼的奖励不包括？	元宝	武将经验	高级装备和宝石
72	千机楼	千机楼哪层掉落品质6的镇雷装备？	千机楼40层	随机	千机楼20层
73	千机楼	千机楼哪层掉落第一套橙色品质装备？	千机楼60层	随机	千机楼不会掉落橙色品质装备
74	千机楼	千机楼挑战连续失败3次怎么办？	提高战力，过会再挑战	今天再也不能挑战了	摔手机
75	千机楼	千机楼努力挑战更高楼层，有什么好处？	拿首胜奖励，增加扫荡奖励	增加税收	增加农场产量
76	千机密室	千机密室组队战斗胜利的奖励是？	装备	铜币、石料	宝石
77	千机密室	第一个千机密室的解锁条件是？	千机楼通关20层	千机楼通关10层	千机楼通关5层
78	千机密室	千机密室层数如何开启？	战胜特定的千机楼层数	战胜之前的密室	用点券开启
79	千机密室	千机密室关于协助挑战不正确的说法是？	没有次数限制	没有副本奖励	协助一定次数可以达成成就
80	千机密室	千机密室每只军队最多几胜就会退场？	3胜	1胜	无限
81	千机密室	千机密室如何取胜？	组队击败所有敌军	达到一定胜利场数	消灭一定数量敌军
82	千机密室	关于千机密室前阵后阵不正确的说法是？	前阵后阵必须人满	队长可拖动调整前后阵位置	前阵队员退场，后阵加入战斗
83	千机密室	千机密室组队找不到人怎么办？	使用邀请和聊天寻求队员	默默等待	没有办法
84	千机密室	协助别人挑战千机密室的好处？	达成成就，获得别人好感	装备	资源
85	横扫	横扫千军挑战失败1次会获得多少积分？	1分	0分	3分
86	横扫	横扫千军如何提升军衔	积分排名保持领先，次日晋升	达到一定积分	用点券晋升
87	横扫	领取横扫俸禄可以获得什么？	点券和芈月碎片	联盟贡献 	铜币和石料
88	横扫	横扫千军军衔根据什么排名？	积分	获胜次数	胜率
89	横扫	横扫千军会遇到什么样的敌人？	同军衔随机对战	自己选择	什么对手都有可能
90	单刀赴会	单刀赴会打完战役武将会获得强化符，这有什么用？	提升成长值	让武将变帅	让武将变胖
91	单刀赴会	单刀赴会遇到打不过的关卡，该怎么做？	提升武将、装备、宝石的属性	硬拼到底	自暴自弃怀疑人生
92	单刀赴会	单刀赴会中每次战斗需派几名武将出战？	1名	全体出战	5名
