id	策略ID	策略效果类型	君主等级	消耗，配 组合消耗.txt id	奖励 配 奖励.txt id	农场成熟减少时间	对方减兵					
id	strategy_id	int_effect_type	hero_level	cost	prize	farm_fast_harvest_duration	target_reduce_solider					
13401001	1	1	1	13401001	13401001							
13401002	1	1	2	13401002	13401002							// 君主策略效果类型
13401003	1	1	3	13401003	13401003							enum StrategyEffectType {
13401004	1	1	4	13401004	13401004							    Strategy_ET_invalid = 0;
13401005	1	1	5	13401005	13401005							    Strategy_ET_prize = 1; // 数值
13401006	1	1	6	13401006	13401006							    Strategy_ET_farm = 2; // 农场减时间
13401007	1	1	7	13401007	13401007							    Strategy_ET_random_fast_move = 3; // 迁城
13401008	1	1	8	13401008	13401008							    Strategy_ET_reduce_tax = 4; // 减税
13401009	1	1	9	13401009	13401009							    Strategy_ET_reduce_solider = 5; // 减兵
13401010	1	1	10	13401010	13401010							    Strategy_ET_baoz = 6 召唤殷墟
13401011	1	1	11	13401011	13401011							}
13401012	1	1	12	13401012	13401012							
13401013	1	1	13	13401013	13401013							
13401014	1	1	14	13401014	13401014							
13401015	1	1	15	13401015	13401015							
13401016	1	1	16	13401016	13401016							
13401017	1	1	17	13401017	13401017							
13401018	1	1	18	13401018	13401018							
13401019	1	1	19	13401019	13401019							
13401020	1	1	20	13401020	13401020							
13401021	1	1	21	13401021	13401021							
13401022	1	1	22	13401022	13401022							
13401023	1	1	23	13401023	13401023							
13401024	1	1	24	13401024	13401024							
13401025	1	1	25	13401025	13401025							
13401026	1	1	26	13401026	13401026							
13401027	1	1	27	13401027	13401027							
13401028	1	1	28	13401028	13401028							
13401029	1	1	29	13401029	13401029							
13401030	1	1	30	13401030	13401030							
13401031	1	1	31	13401031	13401031							
13401032	1	1	32	13401032	13401032							
13401033	1	1	33	13401033	13401033							
13401034	1	1	34	13401034	13401034							
13401035	1	1	35	13401035	13401035							
13401036	1	1	36	13401036	13401036							
13401037	1	1	37	13401037	13401037							
13401038	1	1	38	13401038	13401038							
13401039	1	1	39	13401039	13401039							
13401040	1	1	40	13401040	13401040							
13401041	1	1	41	13401041	13401041							
13401042	1	1	42	13401042	13401042							
13401043	1	1	43	13401043	13401043							
