千机楼楼层	首通奖励	展示奖励	千机楼宝箱奖励	掉落	怪物君主id，关联怪物君主表monster/master.txt	重点楼层，填1	描述	战斗场景，配置 scene/scene.txt 中的id
floor	first_pass_prize	show_prize	box_prize	plunder	monster	check_point	desc	combat_scene
1	1	20001		1	10500001	1	踏入千机楼，英雄豪杰挑战自我。	Battle_Field_1
2	2	20002		2	10500002	1	第2层守卫在此，不服来战！	Battle_Field_1
3	3	20003		3	10500003	1	第3层守卫在此，不服来战！	Battle_Field_1
4	4	20004		4	10500004	1	第4层守卫在此，不服来战！	Battle_Field_1
5	5	20005		5	10500005	1	第5层守卫在此，不服来战！	Battle_Field_1
6	6	20006		6	10500006	1	第6层守卫在此，不服来战！	Battle_Field_1
7	7	20007		7	10500007	1	第7层守卫在此，不服来战！	Battle_Field_1
8	8	20008		8	10500008	1	第8层守卫在此，不服来战！	Battle_Field_1
9	9	20009		9	10500009	1	第9层守卫在此，不服来战！	Battle_Field_1
10	10	20010		10	10500010	1	找我挑战可是大错特错了！	Battle_Field_1
11	11	20011		11	10500011	1	第11层守卫死守此处，来吧！	Battle_Field_1
12	12	20012		12	10500012	1	第12层守卫死守此处，来吧！	Battle_Field_1
13	13	20013		13	10500013	1	第13层守卫死守此处，来吧！	Battle_Field_1
14	14	20014		14	10500014	1	第14层守卫死守此处，来吧！	Battle_Field_1
15	15	20015		15	10500015	1	第15层守卫死守此处，来吧！	Battle_Field_1
16	16	20016		16	10500016	1	第16层守卫死守此处，来吧！	Battle_Field_1
17	17	20017		17	10500017	1	第17层守卫死守此处，来吧！	Battle_Field_1
18	18	20018		18	10500018	1	第18层守卫死守此处，来吧！	Battle_Field_1
19	19	20019		19	10500019	1	第19层守卫死守此处，来吧！	Battle_Field_1
20	20	20020	30001	20	10500020	1	我戴的可是稀有的龙翔装备呢！	Battle_Field_1
21	21	20021		21	10500021	1	我就是第21层守卫，投降吧！	Battle_Field_1
22	22	20022		22	10500022	1	我就是第22层守卫，投降吧！	Battle_Field_1
23	23	20023		23	10500023	1	我就是第23层守卫，投降吧！	Battle_Field_1
24	24	20024		24	10500024	1	我就是第24层守卫，投降吧！	Battle_Field_1
25	25	20025		25	10500025	1	我就是第25层守卫，投降吧！	Battle_Field_1
26	26	20026		26	10500026	1	我就是第26层守卫，投降吧！	Battle_Field_1
27	27	20027		27	10500027	1	我就是第27层守卫，投降吧！	Battle_Field_1
28	28	20028		28	10500028	1	我就是第28层守卫，投降吧！	Battle_Field_1
29	29	20029		29	10500029	1	我就是第29层守卫，投降吧！	Battle_Field_1
30	30	20030		30	10500030	1	前几天才锻炼了身手。	Battle_Field_1
31	31	20031		31	10500031	1	击败第31层守卫的我，才能继续前进。	Battle_Field_1
32	32	20032		32	10500032	1	击败第32层守卫的我，才能继续前进。	Battle_Field_1
33	33	20033		33	10500033	1	击败第33层守卫的我，才能继续前进。	Battle_Field_1
34	34	20034		34	10500034	1	击败第34层守卫的我，才能继续前进。	Battle_Field_1
35	35	20035		35	10500035	1	击败第35层守卫的我，才能继续前进。	Battle_Field_1
36	36	20036		36	10500036	1	击败第36层守卫的我，才能继续前进。	Battle_Field_1
37	37	20037		37	10500037	1	击败第37层守卫的我，才能继续前进。	Battle_Field_1
38	38	20038		38	10500038	1	击败第38层守卫的我，才能继续前进。	Battle_Field_1
39	39	20039		39	10500039	1	击败第39层守卫的我，才能继续前进。	Battle_Field_1
40	40	20040	30002	40	10500040	1	如假包换的镇雷装备，有本事来拿！	Battle_Field_1
41	41	20041		41	10500041	1	第41层守卫就是你的噩梦！	Battle_Field_1
42	42	20042		42	10500042	1	第42层守卫就是你的噩梦！	Battle_Field_1
43	43	20043		43	10500043	1	第43层守卫就是你的噩梦！	Battle_Field_1
44	44	20044		44	10500044	1	第44层守卫就是你的噩梦！	Battle_Field_1
45	45	20045	30006	45	10500045	1	第45层守卫就是你的噩梦！	Battle_Field_1
46	46	20046		46	10500046	1	第46层守卫就是你的噩梦！	Battle_Field_1
47	47	20047		47	10500047	1	第47层守卫就是你的噩梦！	Battle_Field_1
48	48	20048		48	10500048	1	第48层守卫就是你的噩梦！	Battle_Field_1
49	49	20049		49	10500049	1	第49层守卫就是你的噩梦！	Battle_Field_1
50	50	20050	30006	50	10500050	1	只有勇者才能打败我。	Battle_Field_1
51	51	20051		51	10500051	1	看什么看，我就是第51层守卫。	Battle_Field_1
52	52	20052		52	10500052	1	看什么看，我就是第52层守卫。	Battle_Field_1
53	53	20053		53	10500053	1	看什么看，我就是第53层守卫。	Battle_Field_1
54	54	20054		54	10500054	1	看什么看，我就是第54层守卫。	Battle_Field_1
55	55	20055	30006	55	10500055	1	看什么看，我就是第55层守卫。	Battle_Field_1
56	56	20056		56	10500056	1	看什么看，我就是第56层守卫。	Battle_Field_1
57	57	20057		57	10500057	1	看什么看，我就是第57层守卫。	Battle_Field_1
58	58	20058		58	10500058	1	看什么看，我就是第58层守卫。	Battle_Field_1
59	59	20059		59	10500059	1	看什么看，我就是第59层守卫。	Battle_Field_1
60	60	20060	30003	60	10500060	1	我跟过轩辕黄帝，这就是他的大宝剑！	Battle_Field_1
61	61	20061		61	10500061	1	你爬不上去了，因为有第61层守卫。	Battle_Field_1
62	62	20062		62	10500062	1	你爬不上去了，因为有第62层守卫。	Battle_Field_1
63	63	20063		63	10500063	1	你爬不上去了，因为有第63层守卫。	Battle_Field_1
64	64	20064		64	10500064	1	你爬不上去了，因为有第64层守卫。	Battle_Field_1
65	65	20065	30006	65	10500065	1	你爬不上去了，因为有第65层守卫。	Battle_Field_1
66	66	20066		66	10500066	1	你爬不上去了，因为有第66层守卫。	Battle_Field_1
67	67	20067		67	10500067	1	你爬不上去了，因为有第67层守卫。	Battle_Field_1
68	68	20068		68	10500068	1	你爬不上去了，因为有第68层守卫。	Battle_Field_1
69	69	20069		69	10500069	1	你爬不上去了，因为有第69层守卫。	Battle_Field_1
70	70	20070	30006	70	10500070	1	我的刀剑可不是装饰！	Battle_Field_1
71	71	20071		71	10500071	1	吼吼，你被第71层守卫挡住去路了！	Battle_Field_1
72	72	20072		72	10500072	1	吼吼，你被第72层守卫挡住去路了！	Battle_Field_1
73	73	20073		73	10500073	1	吼吼，你被第73层守卫挡住去路了！	Battle_Field_1
74	74	20074		74	10500074	1	吼吼，你被第74层守卫挡住去路了！	Battle_Field_1
75	75	20075	30006	75	10500075	1	吼吼，你被第75层守卫挡住去路了！	Battle_Field_1
76	76	20076		76	10500076	1	吼吼，你被第76层守卫挡住去路了！	Battle_Field_1
77	77	20077		77	10500077	1	吼吼，你被第77层守卫挡住去路了！	Battle_Field_1
78	78	20078		78	10500078	1	吼吼，你被第78层守卫挡住去路了！	Battle_Field_1
79	79	20079		79	10500079	1	吼吼，你被第79层守卫挡住去路了！	Battle_Field_1
80	80	20080	30004	80	10500080	1	打赢了我，能拿到上古的装备！	Battle_Field_1
81	81	20081		81	10500081	1	第81层侍卫就是你面前的一堵墙。	Battle_Field_1
82	82	20082		82	10500082	1	第82层侍卫就是你面前的一堵墙。	Battle_Field_1
83	83	20083		83	10500083	1	第83层侍卫就是你面前的一堵墙。	Battle_Field_1
