编号	君主，关联monster/master.txt表，填id		今日贡献	7日贡献	总贡献
id	master		contribution_amount	contribution_amount7	total_contribution_amount
10801001	10801001	山东盟主	10000	50000	100000
10801002	10801002	孔夫子弟子	8000	40000	80000
10801003	10801003	孟子弟子	6000	30000	60000
10801004	10801004	大明湖雨荷	4000	20000	40000
10802001	10802001	上海盟主	10000	50000	100000
10802002	10802002	上海滩大佬	8000	40000	80000
10802003	10802003	浦西丈母娘	6000	30000	60000
10802004	10802004	百乐门舞女	4000	20000	40000
10803001	10803001	江苏盟主	10000	50000	100000
10803002	10803002	莫愁湖少女	8000	40000	80000
10803003	10803003	秦淮歌女	6000	30000	60000
10803004	10803004	姑苏慕容	4000	20000	40000
10804001	10804001	浙江盟主	10000	50000	100000
10804002	10804002	湖畔西子	8000	40000	80000
10804003	10804003	行者武松	6000	30000	60000
10804004	10804004	白娘子	4000	20000	40000
10805001	10805001	广东盟主	10000	50000	100000
10805002	10805002	香山国父	8000	40000	80000
10805003	10805003	维新党	6000	30000	60000
10805004	10805004	天国天父	4000	20000	40000
10806001	10806001	帝都盟主	10000	50000	100000
10806002	10806002	朝阳群众	8000	40000	80000
10806003	10806003	老炮儿	6000	30000	60000
10806004	10806004	西城大妈	4000	20000	40000
10807001	10807001	四川盟主	10000	50000	100000
10807002	10807002	川妹子	8000	40000	80000
10807003	10807003	耙耳朵	6000	30000	60000
10807004	10807004	冒菜狂人	4000	20000	40000
10808001	10808001	安徽盟主	10000	50000	100000
10808002	10808002	肥西老徐	8000	40000	80000
10808003	10808003	李毅大帝	6000	30000	60000
10808004	10808004	淮南王	4000	20000	40000
10809001	10809001	湖南盟主	10000	50000	100000
10809002	10809002	辣妹子	8000	40000	80000
10809003	10809003	恰同学少年	6000	30000	60000
10809004	10809004	臭豆腐摊主	4000	20000	40000
10810001	10810001	海外党大佬	10000	50000	100000
10810002	10810002	米帝代表	8000	40000	80000
10810003	10810003	腐国代表	6000	30000	60000
10810004	10810004	土澳代表	4000	20000	40000
10811001	10811001	喵星人盟主	10000	50000	100000
10811002	10811002	加菲喵	8000	40000	80000
10811003	10811003	波斯喵	6000	30000	60000
10811004	10811004	暹罗喵	4000	20000	40000
10812001	10812001	汪酱盟主	10000	50000	100000
10812002	10812002	萨摩耶	8000	40000	80000
10812003	10812003	泰迪	6000	30000	60000
10812004	10812004	哈士奇	4000	20000	40000
10813001	10813001	夜游神	10000	50000	100000
10813002	10813002	熬夜党	8000	40000	80000
10813003	10813003	看剧党	6000	30000	60000
10813004	10813004	通宵党	4000	20000	40000
10814001	10814001	周天子	10000	50000	100000
10814002	10814002	太师	8000	40000	80000
10814003	10814003	司徒	6000	30000	60000
10814004	10814004	卿大夫	4000	20000	40000
10815001	10815001	诸侯盟主	10000	50000	100000
10815002	10815002	齐国国相	8000	40000	80000
10815003	10815003	齐国上卿	6000	30000	60000
10815004	10815004	齐国大夫	4000	20000	40000
10816001	10816001	诸侯盟主	10000	50000	100000
10816002	10816002	楚国令尹	8000	40000	80000
10816003	10816003	楚国柱国	6000	30000	60000
10816004	10816004	楚国廷理	4000	20000	40000
10817001	10817001	诸侯盟主	10000	50000	100000
10817002	10817002	燕国国相	8000	40000	80000
10817003	10817003	燕国上卿	6000	30000	60000
10817004	10817004	燕国大夫	4000	20000	40000
10818001	10818001	诸侯盟主	10000	50000	100000
10818002	10818002	韩国国相	8000	40000	80000
10818003	10818003	韩国上卿	6000	30000	60000
10818004	10818004	韩国大夫	4000	20000	40000
10819001	10819001	诸侯盟主	10000	50000	100000
10819002	10819002	赵国国相	8000	40000	80000
10819003	10819003	赵国上卿	6000	30000	60000
10819004	10819004	赵国大夫	4000	20000	40000
10820001	10820001	诸侯盟主	10000	50000	100000
10820002	10820002	魏国国相	8000	40000	80000
10820003	10820003	魏国上卿	6000	30000	60000
10820004	10820004	魏国大夫	4000	20000	40000
10821001	10821001	诸侯盟主	10000	50000	100000
10821002	10821002	秦国丞相	8000	40000	80000
10821003	10821003	秦国公士	6000	30000	60000
10821004	10821004	秦国庶长	4000	20000	40000
