分组，0代表联盟等级	帮派等级	加速次数	消耗建设值	减多少CD
group	level	times	cost	cdr
0	1	1	20000	3.5h
0	1	2	30000	3.5h
0	2	1	30000	15h
0	2	2	45000	15h
0	2	3	45000	15h
0	3	1	70000	24h
0	3	2	105000	24h
0	3	3	105000	24h
0	4	1	150000	35h
0	4	2	225000	35h
0	4	3	225000	35h
0	5	1	250000	65h
0	5	2	375000	65h
0	5	3	375000	65h
0	6	1	750000	144h
0	6	2	1125000	144h
0	6	3	1125000	144h
0	7	1	5000000	144h
0	7	2	7500000	144h
0	7	3	7500000	144h
1	1	1	16000	5.0127h
1	1	2	23000	5.0127h
1	1	3	31000	5.0127h
1	1	4	39000	5.0127h
1	1	5	47000	5.0127h
1	2	1	23000	14.0027h
1	2	2	35000	14.0027h
1	2	3	47000	14.0027h
1	2	4	58000	14.0027h
1	2	5	70000	14.0027h
1	3	1	54000	22.32h
1	3	2	81000	22.32h
1	3	3	109000	22.32h
1	3	4	136000	22.32h
1	3	5	163000	22.32h
1	4	1	116000	31.0775h
1	4	2	174000	31.0775h
1	4	3	233000	31.0775h
1	4	4	291000	31.0775h
1	4	5	349000	31.0775h
1	5	1	194000	55.5923h
1	5	2	291000	55.5923h
1	5	3	388000	55.5923h
1	5	4	484000	55.5923h
1	5	5	581000	55.5923h
1	6	1	581000	121.2875h
1	6	2	872000	121.2875h
1	6	3	1163000	121.2875h
1	6	4	1453000	121.2875h
1	6	5	1744000	121.2875h
2	1	1	8000	2.5872h
2	1	2	12000	2.5872h
2	1	3	16000	2.5872h
2	1	4	20000	2.5872h
2	1	5	24000	2.5872h
2	2	1	12000	7.2272h
2	2	2	18000	7.2272h
2	2	3	24000	7.2272h
2	2	4	30000	7.2272h
2	2	5	36000	7.2272h
2	3	1	28000	11.52h
2	3	2	42000	11.52h
2	3	3	56000	11.52h
2	3	4	70000	11.52h
2	3	5	84000	11.52h
2	4	1	60000	16.04h
2	4	2	90000	16.04h
2	4	3	120000	16.04h
2	4	4	150000	16.04h
2	4	5	180000	16.04h
2	5	1	100000	28.6928h
2	5	2	150000	28.6928h
2	5	3	200000	28.6928h
2	5	4	250000	28.6928h
2	5	5	300000	28.6928h
2	6	1	300000	62.6h
2	6	2	450000	62.6h
2	6	3	600000	62.6h
2	6	4	750000	62.6h
2	6	5	900000	62.6h
3	1	1	9000	2.7489h
3	1	2	13000	2.7489h
3	1	3	17000	2.7489h
3	1	4	21000	2.7489h
3	1	5	26000	2.7489h
3	2	1	13000	7.6789h
3	2	2	19000	7.6789h
3	2	3	26000	7.6789h
3	2	4	32000	7.6789h
3	2	5	38000	7.6789h
3	3	1	30000	12.24h
3	3	2	45000	12.24h
3	3	3	60000	12.24h
3	3	4	74000	12.24h
3	3	5	89000	12.24h
3	4	1	64000	17.0425h
3	4	2	96000	17.0425h
3	4	3	128000	17.0425h
3	4	4	159000	17.0425h
3	4	5	191000	17.0425h
3	5	1	106000	30.4861h
3	5	2	159000	30.4861h
3	5	3	213000	30.4861h
3	5	4	266000	30.4861h
3	5	5	319000	30.4861h
3	6	1	319000	66.5125h
3	6	2	478000	66.5125h
3	6	3	638000	66.5125h
3	6	4	797000	66.5125h
3	6	5	956000	66.5125h
4	1	1	7000	2.2638h
4	1	2	11000	2.2638h
4	1	3	14000	2.2638h
4	1	4	18000	2.2638h
4	1	5	21000	2.2638h
4	2	1	11000	6.3238h
4	2	2	16000	6.3238h
4	2	3	21000	6.3238h
4	2	4	26000	6.3238h
4	2	5	32000	6.3238h
4	3	1	25000	10.08h
4	3	2	37000	10.08h
4	3	3	49000	10.08h
4	3	4	61000	10.08h
4	3	5	74000	10.08h
4	4	1	53000	14.035h
4	4	2	79000	14.035h
4	4	3	105000	14.035h
4	4	4	131000	14.035h
4	4	5	158000	14.035h
4	5	1	88000	25.1062h
4	5	2	131000	25.1062h
4	5	3	175000	25.1062h
4	5	4	219000	25.1062h
4	5	5	263000	25.1062h
4	6	1	263000	54.775h
4	6	2	394000	54.775h
4	6	3	525000	54.775h
4	6	4	656000	54.775h
4	6	5	788000	54.775h
5	1	1	7000	2.1021h
5	1	2	10000	2.1021h
5	1	3	13000	2.1021h
5	1	4	16000	2.1021h
5	1	5	20000	2.1021h
5	2	1	10000	5.8721h
5	2	2	15000	5.8721h
5	2	3	20000	5.8721h
5	2	4	24000	5.8721h
5	2	5	29000	5.8721h
5	3	1	23000	9.36h
5	3	2	34000	9.36h
5	3	3	46000	9.36h
5	3	4	57000	9.36h
5	3	5	68000	9.36h
5	4	1	49000	13.0325h
5	4	2	73000	13.0325h
5	4	3	98000	13.0325h
5	4	4	122000	13.0325h
5	4	5	146000	13.0325h
5	5	1	81000	23.3129h
5	5	2	122000	23.3129h
5	5	3	163000	23.3129h
5	5	4	203000	23.3129h
5	5	5	244000	23.3129h
5	6	1	244000	50.8625h
5	6	2	366000	50.8625h
5	6	3	488000	50.8625h
5	6	4	609000	50.8625h
5	6	5	731000	50.8625h
6	1	1	15000	4.6893h
6	1	2	22000	4.6893h
6	1	3	29000	4.6893h
6	1	4	36000	4.6893h
6	1	5	44000	4.6893h
6	2	1	22000	13.0993h
6	2	2	33000	13.0993h
6	2	3	44000	13.0993h
6	2	4	54000	13.0993h
6	2	5	65000	13.0993h
6	3	1	51000	20.88h
6	3	2	76000	20.88h
6	3	3	102000	20.88h
6	3	4	127000	20.88h
6	3	5	152000	20.88h
6	4	1	109000	29.0725h
6	4	2	163000	29.0725h
6	4	3	218000	29.0725h
6	4	4	272000	29.0725h
6	4	5	326000	29.0725h
6	5	1	181000	52.0057h
6	5	2	272000	52.0057h
6	5	3	363000	52.0057h
6	5	4	453000	52.0057h
6	5	5	544000	52.0057h
6	6	1	544000	113.4625h
6	6	2	816000	113.4625h
6	6	3	1088000	113.4625h
6	6	4	1359000	113.4625h
6	6	5	1631000	113.4625h
