捐献项目，1表示第一个	捐献次数，1表示第一次捐献	捐献消耗	建设值	贡献值	捐献值	贡献币	推荐捐献官府等级
sequence	times	cost	guild_building_amount	contribution_amount	donation_amount	contribution_coin	recommand_guanfu_level
1	1	10801001	1	1	1	1	1
2	1	10802001	1	1	1	1	1
3	1	10803001	100	400	400	400	1
3	2	10803002	200	450	450	450	5
3	3	10803003	300	500	500	500	10
3	4	10803004	400	550	550	550	15
3	5	10803005	600	600	600	600	20
3	6	10803006	800	650	650	650	25
3	7	10803007	1000	700	700	700	30
3	8	10803008	1200	750	750	750	35
3	9	10803009	1500	800	800	800	40
3	10	10803010	1800	850	850	850	45
3	11	10803011	2200	900	900	900	50
3	12	10803012	2600	950	950	950	50
3	13	10803013	3000	1000	1000	1000	50
4	1	10804001	100	400	400	400	1
4	2	10804002	200	450	450	450	5
4	3	10804003	300	500	500	500	10
4	4	10804004	400	550	550	550	15
4	5	10804005	600	600	600	600	20
4	6	10804006	800	650	650	650	25
4	7	10804007	1000	700	700	700	30
4	8	10804008	1200	750	750	750	35
4	9	10804009	1500	800	800	800	40
4	10	10804010	1800	850	850	850	45
4	11	10804011	2200	900	900	900	50
4	12	10804012	2600	950	950	950	50
4	13	10804013	3000	1000	1000	1000	50
5	1	10805001	100	400	400	400	1
5	2	10805002	200	450	450	450	5
5	3	10805003	300	500	500	500	10
5	4	10805004	400	550	550	550	15
5	5	10805005	600	600	600	600	20
5	6	10805006	800	650	650	650	25
5	7	10805007	1000	700	700	700	30
5	8	10805008	1200	750	750	750	35
5	9	10805009	1500	800	800	800	40
5	10	10805010	1800	850	850	850	45
5	11	10805011	2200	900	900	900	50
5	12	10805012	2600	950	950	950	50
5	13	10805013	3000	1000	1000	1000	50
