日志id，不要改	日志类型 1-日常 2-战争 3-声望 4-大事记	同步联盟聊天	图标	内容														
id	log_type	send_chat	icon	text														
JoinGuild	1	1		[color=#77c7ff]{{hero_name}}[/color]加入了联盟			[color=#6baaf0]{{hero_name}}[/color]加入了联盟											
ReplyJoinGuild	1			[color=#77c7ff]{{hero_name}}[/color]通过[color=#77c7ff]{{leader_name}}[/color]的批准加入了联盟														
LeaveGuild	1	1		[color=#77c7ff]{{hero_name}}[/color]离开了联盟			[color=#6baaf0]{{hero_name}}[/color]离开了联盟											联盟事件联盟
KickLeaveGuild	1	1		[color=#77c7ff]{{hero_name}}[/color]被[color=#77c7ff]{{leader_name}}[/color]踢出了联盟														
UpdateMemberClass	1	1		[color=#77c7ff]{{hero_name}}[/color]成为了[color=#ffbc6c]{{class_name}}[/color]			[color=#6baaf0]{{hero_name}}[/color]成为了{{class_name}}											联盟事件科技
UpgradeTechnology	1	1	联盟事件科技	众志成城！联盟科技[color=#ffbc6c]{{tech_name}}[/color]提升到了[color=#ffbc6c]{{level}}级[/color]			联盟科技{{tech_name}}提升到了{{level}}级											联盟事件声望
PrestigePrize	1	1	联盟事件声望	恭喜联盟声望达到[color=#ffbc6c]{{prestige}}[/color]，国君奖励联盟[color=#ffbc6c]{{building_amount}}[/color]建设值与[color=#ffbc6c]{{amount}}[/color]虎符，并赐予每位成员礼包可前往联盟礼包界面领取			恭喜联盟声望达到{{prestige}}，国君奖励联盟{{building_amount}}建设值，并赐予每位成员礼包可前往联盟礼包界面领取											
InvaseMonster	3			[color=#77c7ff]{{hero_name}}[/color]讨伐了[color=#ffbc6c]{{level}}[/color]级野外势力，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望			[color=#6baaf0]{{hero_name}}[/color]讨伐了{{level}}级野外势力，为联盟增加了{{prestige}}声望											
CollectSalary	3			[color=#77c7ff]{{hero_name}}[/color]领取了[color=#ffbc6c]{{jun_xian}}[/color]俸禄，为联盟增加了[color=#ffbc6c]{{prestige}}[/color]声望，[color=#77c7ff]{{hufu}}[/color]个虎符。			[color=#6baaf0]{{hero_name}}[/color]领取了{{jun_xian}}俸禄，为联盟增加了{{prestige}}声望											
CreateGuild	4	1	联盟事件联盟	[color=#77c7ff]{{hero_name}}[/color]创建了联盟			[color=#6baaf0]{{hero_name}}[/color]创建了联盟											
NewLeaderImpeach	4	1	联盟事件联盟	[color=#77c7ff]{{hero_name}}[/color]通过竞选成为了[color=#ffbc6c]盟主[/color]			[color=#6baaf0]{{hero_name}}[/color]通过竞选成为了联盟盟主											
NewLeaderDemise	1	1	联盟事件联盟	[color=#77c7ff]{{hero_name}}[/color]将盟主之位禅让给了[color=#77c7ff]{{leader}}[/color]			[color=#6baaf0]{{hero_name}}[/color]通过禅让成为了联盟盟主											
StartImpeach	4	1	联盟事件联盟	[color=#77c7ff]{{hero_name}}[/color]对当前盟主发起了[color=#ff304e]弹劾[/color]			[color=#6baaf0]{{hero_name}}[/color]对当前盟主发起了弹劾											
TerminateImpeach	1	1	联盟事件联盟	盟主[color=#77c7ff]{{hero_name}}[/color]在弹劾期上线了，弹劾强制失败														
UpdateName	4	1	联盟事件联盟	盟主[color=#77c7ff]{{hero_name}}[/color]将联盟名修改为[color=#ffbc6c]{{guild_name}}[/color]			盟主[color=#6baaf0]{{hero_name}}[/color]将联盟名修改为{{guild_name}}											
UpdateFlagName	4	1	联盟事件联盟	盟主[color=#77c7ff]{{hero_name}}[/color]将联盟旗号修改为[color=#ffbc6c]{{flag_name}}[/color]			盟主[color=#6baaf0]{{hero_name}}[/color]将联盟旗号修改为{{flag_name}}											
UpdateCountry	4	1	联盟事件联盟	盟主[color=#77c7ff]{{hero_name}}[/color]将联盟归属国家从[color=#ffbc6c]{{country}}[/color]修改为[color=#ffbc6c]{{country_name}}[/color]。			盟主[color=#6baaf0]{{hero_name}}[/color]将联盟归属国家从{{country}}修改为{{country_name}}											
UpgradeLevel	4	1	联盟事件联盟	联盟等级提升到了[color=#ffbc6c]{{level}}[/color]级			联盟等级提升到了{{level}}级											
UpdateInternalText	1	1		[color=#77c7ff]{{hero_name}}[/color]修改了联盟公告														
																		
