目标id	目标名字	目标描述		分组	按钮文字	按钮跳转，跟客户端约定	1-提示联盟等级    2-提示声望    3-弹劾Npc盟主中    4-弹劾玩家盟主中    5-职位调整  6-玩家盟主没用了，弹劾他吧    7-转国倒计时	提升等级目标填等级，提升声望目标填声望	排序					
id	name	desc	icon	group	button_text	button_link	target_type	target	order					
1	将联盟升至2级，招募更多成员	升级2级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	2	101					联盟目标竞选
2	将联盟升至3级，招募更多成员	升级3级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	3	102					联盟目标名城
3	将联盟升至4级，招募更多成员	升级4级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	4	103					联盟目标匈奴
4	将联盟升至5级，招募更多成员	升级5级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	5	104					联盟目标声望
5	将联盟升至6级，招募更多成员	升级6级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	6	105					联盟目标副本
6	将联盟升至7级，招募更多成员	升级7级联盟可以招募更多成员	联盟目标升级	1	查看详情	1	1	7	106					联盟目标升级
201	将联盟声望提升至2万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至2万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	20000	201					
202	将联盟声望提升至4万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至4万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	40000	202					
203	将联盟声望提升至10万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至10万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	100000	203					
204	将联盟声望提升至20万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至20万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	200000	204					
205	将联盟声望提升至30万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至30万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	300000	205					
206	将联盟声望提升至45万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至45万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	450000	206					
207	将联盟声望提升至70万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至70万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	700000	207					
208	将联盟声望提升至95万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至95万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	950000	208					
209	将联盟声望提升至120万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至120万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	1200000	209					
210	将联盟声望提升至150万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至150万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	1500000	210					
211	将联盟声望提升至500万，联盟成员可获得国君礼包，联盟将获得建设值	将联盟声望提升至500万，联盟成员可获得国君礼包，联盟将获得建设值	联盟目标声望	2	查看详情	2	2	5000000	211					
301	电脑盟主发起新盟主竞选，您可以前去选举新盟主	电脑盟主发起新盟主竞选，您可以前去选举新盟主	联盟目标竞选	3	查看投票	3	3		1					
302	电脑盟主会在每天14:10根据7日贡献调整联盟职位	电脑盟主会在每天14:10根据7日贡献调整联盟职位	联盟目标竞选	4	前往捐献	1	5		2					
303	盟主不称职，几天不上线，快弹劾他	盟主不称职，几天不上线，快弹劾他	联盟目标竞选	5	发起弹劾	5	6		3					
304	盟主投票竞选中，快去投票吧	盟主投票竞选中，快去投票吧	联盟目标竞选	6	前往投票	4	4		4					
401	联盟即将转国	盟主将联盟所属国从本国转换到其它国家，当前处于生效倒计时！您如果不愿意转国可以离开联盟。	联盟目标声望	7	查看详情	6	7		5					
