分组	等级	科技名称	科技描述	图标	升级所需联盟等级	升级所需建设值	升级所需时间	建筑效果，跟宝箱id2选1	宝箱id，跟建筑效果2选1	盟友帮助减少CD					
group	level	name	desc	icon	require_guild_level	upgrade_building	upgrade_duration	effect	big_box	Help_Cdr					
1	1	宝箱科技	有概率获得珍贵道具	联盟科技宝箱	1	15500	22.7385h		2	5m		联盟科技宝箱		45000	1.3
1	2	宝箱科技	有概率获得3级宝石;珍贵道具	联盟科技宝箱	2	23250	70.0135h		3	10m		联盟科技建筑		75000	1.3
1	3	宝箱科技	有更高概率获得3级宝石;珍贵道具	联盟科技宝箱	3	54250	111.6h		4	12m		联盟科技铜币		175000	1.3
1	4	宝箱科技	有更高概率获得3级宝石;珍贵道具	联盟科技宝箱	4	116250	155.3875h		5	15m		联盟科技训练		500000	1.3
1	5	宝箱科技	有更高概率获得3级宝石;珍贵道具	联盟科技宝箱	5	193750	277.9615h		6	20m		联盟科技研究		900000	1.3
1	6	宝箱科技	有更高概率获得3级宝石;珍贵道具	联盟科技宝箱	6	581250	606.4375h		7	25m		联盟科技矿石		1500000	1.3
2	1	建造技术	建造速度提升|10%|20%	联盟科技建筑	1	8000	11.736h	10805101		5m				45000	0.8
2	2	建造技术	建造速度提升|20%|30%	联盟科技建筑	2	12000	36.136h	10805102		10m				75000	0.8
2	3	建造技术	建造速度提升|30%|40%	联盟科技建筑	3	28000	57.6h	10805103		12m				175000	0.8
2	4	建造技术	建造速度提升|40%|50%	联盟科技建筑	4	60000	80.2h	10805104		15m				500000	0.8
2	5	建造技术	建造速度提升|50%|60%	联盟科技建筑	5	100000	143.464h	10805105		20m				900000	0.8
2	6	建造技术	建造速度提升|60%	联盟科技建筑	6	300000	313h	10805106		25m				1500000	0.8
3	1	学术研究	研究速度提升|10%|20%	联盟科技研究	1	8500	12.4695h	10805201		5m				45000	1.1
3	2	学术研究	研究速度提升|20%|30%	联盟科技研究	2	12750	38.3945h	10805202		10m				75000	1.1
3	3	学术研究	研究速度提升|30%|40%	联盟科技研究	3	29750	61.2h	10805203		12m				175000	1.1
3	4	学术研究	研究速度提升|40%|50%	联盟科技研究	4	63750	85.2125h	10805204		15m				500000	1.1
3	5	学术研究	研究速度提升|50%|60%	联盟科技研究	5	106250	152.4305h	10805205		20m				900000	1.1
3	6	学术研究	研究速度提升|60%	联盟科技研究	6	318750	332.5625h	10805206		25m				1500000	1.1
4	1	铜币产量	农场铜币增产|10%|20%	联盟科技铜币	1	7000	10.269h	10805301		5m				45000	0.9
4	2	铜币产量	农场铜币增产|20%|30%	联盟科技铜币	2	10500	31.619h	10805302		10m				75000	0.9
4	3	铜币产量	农场铜币增产|30%|40%	联盟科技铜币	3	24500	50.4h	10805303		12m				175000	0.9
4	4	铜币产量	农场铜币增产|40%|50%	联盟科技铜币	4	52500	70.175h	10805304		15m				500000	0.9
4	5	铜币产量	农场铜币增产|50%|60%	联盟科技铜币	5	87500	125.531h	10805305		20m				900000	0.9
4	6	铜币产量	农场铜币增产|60%	联盟科技铜币	6	262500	273.875h	10805306		25m				1500000	0.9
5	1	石料产量	农场石料增产|10%|20%	联盟科技矿石	1	6500	9.5355h	10805401		5m				45000	0.7
5	2	石料产量	农场石料增产|20%|30%	联盟科技矿石	2	9750	29.3605h	10805402		10m				75000	0.7
5	3	石料产量	农场石料增产|30%|40%	联盟科技矿石	3	22750	46.8h	10805403		12m				175000	0.7
5	4	石料产量	农场石料增产|40%|50%	联盟科技矿石	4	48750	65.1625h	10805404		15m				500000	0.7
5	5	石料产量	农场石料增产|50%|60%	联盟科技矿石	5	81250	116.5645h	10805405		20m				900000	0.7
5	6	石料产量	农场石料增产|60%	联盟科技矿石	6	243750	254.3125h	10805406		25m				1500000	0.7
6	1	士兵训练	每小时产兵增加|600|900	联盟科技训练	1	14500	21.2715h	10805501		5m				45000	1.2
6	2	士兵训练	每小时产兵增加|900|1200	联盟科技训练	2	21750	65.4965h	10805502		10m				75000	1.2
6	3	士兵训练	每小时产兵增加|1200|1500	联盟科技训练	3	50750	104.4h	10805503		12m				175000	1.2
6	4	士兵训练	每小时产兵增加|1500|1800	联盟科技训练	4	108750	145.3625h	10805504		15m				500000	1.2
6	5	士兵训练	每小时产兵增加|1800|2100	联盟科技训练	5	181250	260.0285h	10805505		20m				900000	1.2
6	6	士兵训练	每小时产兵增加|2100	联盟科技训练	6	543750	567.3125h	10805506		25m				1500000	1.2
