钓鱼id	钓鱼类型 0-高级 1-普通	钓鱼的奖励，配置prize.txt中的id		是否展示	是否广播	广播内容	权重	配1表示第一次钓鱼奖励	十连保底				
id	fish_type	prize		is_show	is_broadcast	show_content	weight	fish_times	is_priority				
1	0	11400003	3	1			3		1		3		
2	0	11400007	3	1			3		1		5		
3	0	11400009	3	1			3		1		7		
4	0	11400010	3	1			3		1		9		
5	0	11400019	3	1			3		1		10		
6	0	11400020	3	1			3		1		19		
7	0	11400023	3	1			3		1		20	1	恭喜玩家%%s获得了S级将魂白起
8	0	11400025	3	1			3		1		23	1	恭喜玩家%%s获得了S级将魂王翦
9	0	11400027	3	1			3		1		25	1	恭喜玩家%%s获得了S级将魂王翦
10	0	11400029	3	1			3		1		27		
11	0	11400030	3	1			3		1		29		
12	0	11400032	3	1			3		1		30		
13	0	11400033	3	1			3		1		32		
14	0	11400034	3	1			3		1		33		
15	0	11400035	3	1			3		1		34		
16	0	11400036	3	1			3		1		35		
17	0	11400038	3	1			3		1		36		
18	0	11400022	1	1			3		1		38		
19	0	11400037	1	1			33		1		37		
20	0	11400002	2	1			33		1		2		
21	0	11400004	2	1			33		1		4		
22	0	11400006	2	1			33		1		6		
23	0	11400013	2	1			33		1		13		
24	0	11400014	2	1			33		1		14		
25	0	11400016	2	1			33		1		16		
26	0	11400018	2	1			33		1		18		
27	0	11400021	2	1			33		1		21		
28	0	11400024	2	1			33		1		24		
29	0	11400026	2	1			33		1		26		
30	0	11400040	1	1			33		1		40		
31	0	11400005	3	1			100				5		
32	0	11400008	2	1			100				8		
33	0	11400011	2	1			100				11		
34	0	11400001	1	1			100				1		
35	0	11400012	1	1			100				12		
36	0	11400015	1	1			100				15		
37	0	11400017	1	1			100				17		
38	0	11400039	1	1			100				39		
39	0	11400014	2	1			1	1			14		
													
101	0	11402003					14						
102	0	11402007					14						
103	0	11402009					14						
104	0	11402010					14						
105	0	11402019					14						
106	0	11402020					14						
107	0	11402023					14						
108	0	11402025					14						
109	0	11402027					14						
110	0	11402029					14						
111	0	11402030					14						
112	0	11402032					14						
113	0	11402033					14						
114	0	11402034					14						
115	0	11402035					14						
116	0	11402036					14						
117	0	11402038					14						
118	0	11402022					14						
119	0	11402037					66						
120	0	11402002					66						
121	0	11402004					66						
122	0	11402006					66						
123	0	11402013					66						
124	0	11402014					66						
125	0	11402016					66						
126	0	11402018					66						
127	0	11402021					66						
128	0	11402024					66						
129	0	11402026					66						
130	0	11402040					66						
131	0	11402005					200						
132	0	11402008					200						
133	0	11402011					200						
134	0	11402001					200						
135	0	11402012					200						
136	0	11402015					200						
137	0	11402017					200						
138	0	11402039					200						
													
201	0	11403003					9						
202	0	11403007					9						
203	0	11403009					9						
204	0	11403010					9						
205	0	11403019					9						
206	0	11403020					9						
207	0	11403023					9						
208	0	11403025					9						
209	0	11403027					9						
210	0	11403029					9						
211	0	11403030					9						
212	0	11403032					9						
213	0	11403033					9						
214	0	11403034					9						
215	0	11403035					9						
216	0	11403036					9						
217	0	11403038					9						
218	0	11403022					9						
219	0	11403037					45						
220	0	11403002					45						
221	0	11403004					45						
222	0	11403006					45						
223	0	11403013					45						
224	0	11403014					45						
225	0	11403016					45						
226	0	11403018					45						
227	0	11403021					45						
228	0	11403024					45						
229	0	11403026					45						
230	0	11403040					45						
231	0	11403005					134						
232	0	11403008					134						
233	0	11403011					134						
234	0	11403001					134						
235	0	11403012					134						
236	0	11403015					134						
237	0	11403017					134						
238	0	11403039					134						
													
