编号映射主表用的		每一级官府增加值，只有资源或君主经验生效果，没有则不填	选项奖励，对应prize.txt	权重，如果没有prize或只有1个prize，允许不填，否则必填						
id		gf_add	prize	weight	prize	weight	prize	weight	prize	weight
13000011		1	13001011	100						
13000012		100	13001012	100						
13000013		100	13001013	100						
13000021		100	13001021	100						
13000022		100	13001022	100						
13000031		1	13001031	100						
13000032		1	13001032	100						
13000033		100	13001033	100						
13000041		1	13001041	100						
13000042		100	13001042	100						
13000043		100	13001043	100						
13000051		1	13001051	100						
13000052		1	13001052	100						
13000053		100	13001053	100						
13000061		100	13001061	100						
13000062		100	13001062	100						
13000063		1	13001063	100						
13000071		1	13001071	100						
13000072		100	13001072	100						
13000073		100	13001073	100						
13000081		100	13001081	100						
13000082		100	13001082	100						
13000083		1	13001083	100						
13000091		1	13001091	100						
13000092		100	13001092	100						
13000093		1	13001093	100						
13000101		1	13001101	100						
13000102		100	13001102	100						
13000103		100	13001103	100						
13000111		1	13001111	100						
13000112		1	13001112	100						
13000113		100	13001113	100						
13000121		100	13001121	100						
13000122		100	13001122	100						
13000123		100	13001123	100						
13000131		1	13001131	100						
13000132		1	13001132	100						
13000141		100	13001141	100						
13000142		100	13001142	100						
13000151		100	13001151	100						
13000152		100	13001152	100						
13000153		100	13001153	100						
13000161		100	13001161	100						
13000162		100	13001162	100						
13000163		100	13001163	100						
13000171		100	13001171	100						
13000172		1	13001172	100						
13000181		1	13001181	100						
13000182		1	13001182	100						
13000183		1	13001183	100						
13000191		100	13001191	100						
13000192		1	13001192	100						
13000201		100	13001201	100						
13000202		100	13001202	100						
13000203		100	13001203	100						
