事件ID		事件标题	事件描述	成语内容	事件配图	季节分类，1春，2夏，3秋，4冬，不填就是通用	地域分类，1山脉，2河流，3名城，不填就是通用	选项		
id		title	desc	content	image	type_season	type_area	option	option	option
1		韦编三绝	听说住在山上的孔子喜欢读书，用来包书的书皮很快就被翻烂，你怎么看？	孔子的学习精神非常好。相传，在他晚年攻读《周易》的时候，曾翻来覆去地读，竟使编联《周易》的绳子断了好几次。史称“韦编三绝”。	UITexture/RegionEventPic/17		1	11	12	13
2		三令五申	吴王请孙武训练宫女，孙武三令五申，宫女们就是不听从命令，孙武于是下令把宫女拖到河边杖责。吴王很心疼，又不好出面劝说，希望你能帮忙！	孙武携《孙子兵法》去见吴王阖闾。阖闾召集一百八十名宫女，请孙武训练。起初宫女们对孙武的指挥不以为意，无论孙武如何耐心讲解交代，宫女们都嘻嘻哈哈拒不执行。三番五次解释不成后，孙武说：“交代清楚而不听命令，就是士兵的过错了。”于是孙武不顾阖闾阻拦将为首的两名受宠宫女斩首，重新任命队长。自此之后宫女们便认真操练起来，再不敢儿戏了。	UITexture/RegionEventPic/20		2	21	22	
3		滥竽充数	齐宣王邀请你去山中别墅赴宴，讨论为君之道，并让一群仆人吹竽助兴。你发现有名仆人滥竽充数，要怎么办？	齐宣王让人吹竽，一定要三百人合奏。南郭处士趁机滥竽充数。齐湣王继承王位，喜欢听一个一个演奏，南郭处士只好逃走了。这个故事里的齐宣王看上去比较昏庸，齐湣王则很睿智，其实历史恰恰相反。齐宣王英明强悍，主持变法，在位期间齐国十分强盛。齐湣王却暴虐昏庸，好大喜功，最终导致乐毅伐齐，自己被大臣杀死。	UITexture/RegionEventPic/05		1	31	32	33
4		田忌赛马	田忌和齐威王赛马，孙膑提议田忌用劣马对齐威王的好马，好马对齐威王的良马，良马对齐威王的劣马，大获全胜。齐威王希望你能帮他出气！	田忌与人赛马，听从了孙膑的建议，最终取得胜利。田忌是齐国大将，与孙膑合作，先后取得了桂林之战、马陵之战的胜利。但在班师回朝时，他却没有听从孙膑清君侧的建议，结果被齐王身边大臣陷害，一代名将被迫逃亡楚国。	UITexture/RegionEventPic/04		2	41	42	43
5		悬梁刺股	鬼谷子的徒弟纵横家苏秦读书很刻苦，每次犯困就用锥子刺自己的大腿。你得知了此事，要如何处理？	悬梁刺股是两个典故，后者发生在战国，主角是著名的纵横家苏秦。苏秦靠三寸不烂之舌，成为六国宰相。他年轻时却很落魄，遭到邻里讥笑。为了成功，苏秦专心研究纵横术，每到昏昏欲睡时，就用锥子刺自己的大腿，以便惊醒自己，最终才取得成功。	UITexture/RegionEventPic/03		1	51	52	53
6		一毛不拔	杨朱是著名的思想家，主张利己主义，孟子说如果拔杨朱身上一根毛而有利于天下，杨朱也不会做。杨朱认为孟子在诋毁自己，两人正在河边打架！	战国时，杨朱主张为我，提倡个人利已主义，孟子称如果拔杨朱身上的一根毛而对天下有利，杨朱也不会干。一毛不拔的主角虽然是杨朱，但成语却源于孟子。孟子是个脾气很大的人，凭人论事往往都很刁钻，他说出的话，许多都成了有名的成语或段子。	UITexture/RegionEventPic/11		2	61	62	63
7		讳疾忌医	扁鹊见蔡桓公，说蔡桓公有病，蔡桓公认为扁鹊故意恫吓自己，好推销药品。扁鹊逃到了我们附近的山里，蔡桓公愿以重金，请你抓住扁鹊！	扁鹊见蔡桓公，称蔡桓公有病，桓公不听，于是有了讳疾忌医的说法。其实蔡桓公生活春秋，扁鹊则在战国，两人压根不再同一时期。讳疾忌医真正的主角，是后齐桓公。为什么说是后，因为这个齐桓公，不是春秋五霸之一的齐桓公，而是战国时代齐国的君主，因为也称桓公，为了加以区分，才被后人成为后齐桓公。	UITexture/RegionEventPic/09		1	71	72	73
8		白虹贯日	严遂和韩傀是韩国大臣，两人有仇。严遂重金聘请聂政刺杀韩傀，正好碰上了白虹贯日的天象，有人说聂政是上天派来惩罚奸臣的使者。现在，聂政逃亡到了这附近！	说到战国此刻，我们往往会想起荆轲，其实早在荆轲之前，就一名威震天下的刺客，名叫聂政。聂政是韩国轵人。韩国大臣严遂与韩相韩傀有隙，遭到迫害，想要报仇，请求聂政出手。聂政刺杀韩傀，过程中不慎将韩王一并杀死。当时正逢白虹贯日的天象，古人迷信，从此把这种天象当做危害君王的凶兆。	UITexture/RegionEventPic/16		2	81	82	83
9		天下无双	传闻最近有许多少女拒绝相亲，原因是迷恋上了战国四公子之一的信陵君。男人们前来告状，为了迷途的少女，你必须做出决断！	天下无双，形容一个人十分优秀，独一无二。这个成语出自史记，而它所描述的对象，正是战国四公子之一的信陵君。	UITexture/RegionEventPic/14		2	91	92	93
10		利令智昏	韩国将上党割让给秦国，但上党不愿归秦，希望赵国出兵援助。赵国的平原君被利益迷惑，冲昏头脑，答应派兵。廉颇希望你出面阻止，你打算怎么办？	公元前262年，秦国进攻韩国上党，上党太守冯亭不愿投降秦国，表示愿意归顺赵国。以平原君为首的大臣主张接受上党，平原君是战国四公子之一，但目光短浅，被眼前利益冲昏头脑，最终导致赵国卷入大战，在长平惨败。	UITexture/RegionEventPic/10		2	101	102	103
11		狐假虎威	昭奚恤是楚国大臣，位高权重。魏国派江乙前往楚国挑拨，说昭奚恤狐假虎威，借着楚王的名声，在外面为非作歹。昭奚恤希望你能帮他！	狐假虎威的中的狐狸是楚国大臣昭奚恤，老虎是楚宣王。战国时期，魏国派纵横家江乙前往楚国，向楚王讲述了这个故事，意在分化昭奚恤君臣之间的关系。真正的昭奚恤，其实不似狐狸一般，只能依附老虎。他是楚国重臣，精明干练，颇有威望。	UITexture/RegionEventPic/08		1	111	112	113
12		叶公好龙	楚国大臣叶公很喜欢龙，家中墙上雕刻着一只巨龙。天上的神龙被他感动，来到人间相见。叶公很害怕，你出面将神龙抓住，现在该怎么办？	叶公好龙，家中庭院里雕刻者一条龙，他十分喜爱。天上的龙被感动，下来与他相见，他却吓得惊慌失措。故事中的叶公，显得愚蠢可笑。然而历史上的叶公，名叫沈诸梁，他是楚国的大臣，不但政绩颇佳，还曾平定楚国内乱，是一名十分勇猛大胆的人物。	UITexture/RegionEventPic/02		2	121	122	123
13		三寸之舌	秦国进攻赵国，平原君决定去楚国求助，一个叫做毛遂的人推荐自己做平原君的随从。他来到楚国，以三寸不烂说服楚王。如今毛遂就隐居在附近！	三寸之舌的主人公，正是毛遂自荐的毛遂。长平之战，赵国打败，邯郸被围。平原君决定前往楚国求救，毛遂自愿跟随。毛遂以巧妙的辩才，说服楚国出兵，平原君称毛遂有三寸不烂之舌，胜于百万雄兵。值得一提的是，一言九鼎的主角，也是毛遂。	UITexture/RegionEventPic/15		2	131	132	
14		一鸣惊人	楚庄王在位三年，从不上朝，有人说他是一只三年不鸣的大鸟。他回答不是不鸣，一鸣惊人。楚国大臣前来求助，希望你帮忙！你打算怎么做？	楚庄王是春秋五霸之一，即位之初疏于朝政。大臣说有一只鸟，三年不飞不鸣，借此形容庄王。庄王反驳飞则冲天，一鸣惊人。其实庄王是幼年几位，大权旁落，所以才韬光养晦。他在位数年，掌握朝政后，立刻诛杀了不忠的大臣，最终成为一代明君。	UITexture/RegionEventPic/26		1	141	142	
15		鸡鸣狗盗	秦王邀请孟尝君赴宴，想趁机杀害，孟尝君派门客伪装成狗，潜入秦宫，贿赂秦王妃，这才逃脱。他经过我们的城池，让门客学鸡鸣，骗守卫将城门打开。我们要怎么办？	鸡鸣狗盗，现在多被当做贬义词，然而最初，它其实是一个褒义词。战国四公子之一的孟尝君受邀入秦，面临杀身之祸。他手下有一门客善钻狗洞，偷取宝物贿赂秦王妃子，为孟尝君保住了性命。后来孟尝君逃走，来到边境，尚未天亮，城门未开。孟尝君另一门客善学鸡鸣，让守关将士误以为时间已至，打开了城门，孟尝君这才逃脱。	UITexture/RegionEventPic/34		2	151	152	153
16		问鼎中原	秋收在即，楚庄王派兵前往周朝，询问九鼎的重量，试图运走，周朝的王孙满不肯相告。九鼎是天下的象征，王孙满派人向我们求助，我们该怎么做？	一鸣惊人的楚庄王，为谋求霸业，率军北上。他来到周朝的国都洛邑，看到了象征天下的九鼎，于是想要运回楚国。他询问九鼎的重量，还是少年的王孙满却避而不答。周室态度坚决，楚庄王知道不好强夺，只能退兵。	UITexture/RegionEventPic/13		1	161	162	163
17		一字千金	前面道路被堵住，原来是秦国丞相吕不韦主持编写了《吕氏春秋》，称谁能增删一字便千金相酬。但众人畏惧吕不韦的门客，都不敢去修改。	秦国丞相吕不韦集合门客的力量，编篡了《吕氏春秋》，公布在城门处，称谁能改一字，便赏赐千金。吕不韦的用意是在炫耀此书的完美，而世人之所以不敢修改，其实都是畏惧吕不韦的势力。毕竟比起钱，人的性命更重要。	UITexture/RegionEventPic/01		1	171	172	
18		卧薪尝胆	越王勾践喜欢生吃苦胆，他称这就是自己打败吴国的原因，有人正在推销苦胆，我们要不要买一点？	在许多人眼里，勾践是靠西施的美人计，才打败了吴国。事实上勾践其人颇有谋略，早在吴王阖闾在位时，他就曾打败过吴国。阖闾在战争中受伤，因此而死，吴越于是结下血仇。阖闾之子夫差后来打败了勾践，勾践为复国，一面搜集美女送给夫差，一面卧薪尝胆，励精图治，这才成功复国。而勾践吃的苦胆，应该算是最早的黑暗料理。	UITexture/RegionEventPic/12		1	181	182	183
19		门庭若市	齐威王虚心纳谏，百姓纷纷上书，把宫门堵得水泄不通，门庭若市。城内百姓，也希望有机会进谏！	战国时齐威王的相国邹忌妻因为偏爱自己、妾因为害怕自己、客因为有求于自己，都说自己比城北徐公美，然而实际见面后他发现自己远远不如。他因此领悟出人会因为情感而罔顾事实，转而建议齐威王广开言路。齐威王采纳意见后，来进谏的群臣百姓之多，使得宫殿仿佛集市一般热闹。	UITexture/RegionEventPic/27		2	191	192	
20		买椟还珠	有个人自称收藏家，买东西的时候只要盒子，里面的商品都退了回去，他此刻就在附近！	韩非子的著作《韩非子外储说左上》中记载过这样一个寓言故事。一位楚国商人想要在郑国出售一颗名贵的宝珠，他用上好的材料制作盒子，再用香料熏制、珠宝和羽毛点缀。结果郑国买家却只看中了盒子，没有看中珠子。他花了一笔钱将盒子买下，却将珠子还给了楚国商人。	UITexture/RegionEventPic/28		2	201	202	203
21		白马非马	公孙龙是名家大师，擅长辩论，他经过山下关卡时，守卫让他下马入城。公孙龙说自己骑的是白马，不是马，不肯配合！	公孙龙是战国时期最著名的诡辩家，曾经是平原君的门客，名家的代表人物。他有一次过关时，守关的官吏告诉他人可以过，马不可以。适逢他骑着一匹白马，为了过关，他发表了一通中国古代最为著名的诡辩言论，成功绕晕关吏从而过关。后来孔子的六世孙孔穿曾专程上门找他辩论，却被他说得哑口无言。	UITexture/RegionEventPic/06		1	211	212	
22		抱薪救火	附近两个国家相争，其中一国大败，不断割地求和。纵横家苏代前往战败国游说，认为割地犹如抱薪救火，薪不尽火不灭，结果被关押起来。他希望你能救他！	战国时代，魏国老是受到秦国的侵略。魏国的安厘王即位后，秦国加紧了进攻，魏国连连战败，只能不断各地。苏代劝说魏王，割地的做法就好比抱薪救火，为得是警示魏王。	UITexture/RegionEventPic/07		1	221	222	
23		退避三舍	晋文公曾流落楚国，得到楚成王招待，文公称即位后会礼让楚国。不久前两国交战，晋文公退避三舍，诱敌深入，大败楚军。楚王很生气，希望我们出兵帮他！	晋文公即位前出亡楚过， 受到礼遇，曾约定将来两国交战，将退避三舍，作为回报。然而事实上，这也是晋文公的诱敌之计，他故意让军队后退，正是为了引楚国深入。	UITexture/RegionEventPic/18		2	231	232	
24		三人成虎	魏国大臣庞葱和太子去赵国做人质，魏王身边的人趁机说他坏话，起初魏王不信。但三人成虎，说坏话的人太多，结果庞葱回国后无法见到魏王。	庞葱要陪太子到邯郸去做人质，庞葱问魏王：“如果有一个人说大街上有老虎，您相信吗”“魏王说：“不相信。”庞葱说：“如果是两个人说呢？”魏王说：“那我就要疑惑了。”庞葱又说：“如果增加到三个人呢，大王相信吗？”魏王说：“我相信了。”庞葱以此劝诫魏王不要因为毁谤他的人多就相信那是事实。果不其然，庞葱走了没多久，魏王就不再相信他了。	UITexture/RegionEventPic/19		2	241	242	243
25		南辕北辙	有名老人路过此地，想去南方的楚国，但一路往北。路人好心提醒，老人却1说地球是圆的，认为自己一定能到达目的地。	魏王想攻打赵国，季梁劝告魏王。季粱说他在路上遇到一个人驱车向北，却自称要前往楚国。驱车的人说他马好技术高超且路费充足。但他不知道方向错了，赶路的条件越好，离楚国的距离就会越远。季粱想以此劝诫楚王，不要为了争霸穷兵黩武。或许季粱阻止了人类历史上第一次环球旅行。	UITexture/RegionEventPic/21		1	251	252	
26		摩肩接踵	齐国临淄是有名的大都市，人口众多，一名齐国来的商人说，临淄城内几乎到了摩肩接踵的地步，还说我们的城池太破落！	春秋时期，齐国著名的外交官晏婴奉命出使楚国，楚王存心侮辱他，不给他走正门，就说齐国没人就派这个矮人来。晏婴说齐国街上的人摩肩接踵，挥汗成雨，挥袖成云。齐国的出使规矩就是无能的使臣只能去见无能的国君。楚王自取其辱，只好隆重接待。	UITexture/RegionEventPic/22		1	261	262	263
27		作法自毙	商鞅主持变法二十余年，要求人们住店必须出示身份证明。秦孝公死后他被迫逃亡，想要住店，结果没有身份证明，被自己的法令所害，无家可归。	商鞅变法使得秦国迅速发展，强盛起来，却也得罪了一大批秦国贵族。秦孝公死后，贵族们纷纷向惠文王进谗言说商鞅谋反。虽然惠文王知道商鞅并无谋反动机，但早年间商鞅变法处死了他的老师，结下了私仇。商鞅自知不妙，打算逃出咸阳返回封地，途中想要投宿客栈时却因为自己定下的法令，不可接待没有身份证明的人而无处藏身。离开客栈时他仰天长啸：“我这是作法自毙啊！”	UITexture/RegionEventPic/23		2	271	272	
28		纸上谈兵	赵国的赵括喜欢纸上谈兵，和人辩论兵法，总能让对方哑口无言。前几日廉颇又输给了赵括，廉颇希望你能帮他教训一下赵括！	赵括从小就跟随他的父亲赵奢学习兵法。他天赋异禀，谈论用兵打仗的事全天下都没人比得过。赵括曾经跟他的父亲赵奢论兵，赵奢都说不过他。不过赵奢并不承认赵括有军事才能。果不其然，长平之战赵括第一次上阵就丢了性命。不过“纸上谈兵”这个说法显然来自后人编排，因为战国时期纸还没有出现。	UITexture/RegionEventPic/24		1	281	282	
29		缘木求鱼	有名书生前几日撞到了脑袋，之后整天爬到树上钓鱼，认为鱼儿会上钩，瞧，他就在前面！	孟子劝诫齐宣王时告诉她，单纯通过武力来称霸天下就像爬到树上找鱼一样不切实际。树上是没有鱼的，但是树本身或许可以做成木鱼。	UITexture/RegionEventPic/25		2	291	292	293
30		马首是瞻	晋国讨伐秦国，大将荀偃十分傲慢，要求手下看着自己的马头行动，手下不满，结果大败而归。几名士兵正在前面谈论此事。	春秋时期，各国组成了联军攻打日益强盛的秦国。晋国的中军帅荀偃负责指挥全军，没想到联军内部心不齐，秦国也毫不畏惧，还在水源上游下毒，毒死不少联军士兵。荀偃一看不对就决定早日发动总共他命令全军拆掉灶填平井，明天看着自己的马头行事，他指向那里，全军就冲向哪里。结果大家纷纷觉得荀偃太过专横跋扈，各自调转马头回国了。伐秦联军一哄而散。	UITexture/RegionEventPic/29		1	301	302	
31		两虎相争	魏国和韩国交战，秦国想要出兵。楚国支持韩国，派名士陈轸游说秦王，称两虎相争必有一伤，让秦国最后出兵。秦王不知该怎么决定，请你帮忙。	战国时期，韩国和魏国打了一年多还不分胜负，秦惠王想出兵干涉，楚国使者陈轸给秦惠王讲卞庄子利用两虎相争必有一伤的道理，得到它们两败俱伤时一举打死两只老虎，劝秦惠王采取坐山观虎斗的计策，等待时机再消灭这两国。	UITexture/RegionEventPic/30		2	311	312	
32		刻舟求剑	城外有名年轻人坐船时将佩剑掉到了水里，他在船上刻下记号，想要等靠岸后再找，结果没有找到。他认为有人偷了自己的剑，希望大人做主！	《吕氏春秋》中记载了这样一个寓言故事。楚国有个渡江的人，他的剑从船里掉到水中，他立即在船边刻了个记号，说：“这儿是我的剑掉下去的地方。”船停了，他在刻记号的地方下水寻找剑，当然是一无所获。	UITexture/RegionEventPic/31		1	321	322	
33		老马识途	齐桓公带兵讨伐北戎，结果在山中迷路。管仲提出让久经沙场的老马带路，最终平安离开。管仲现在打算将那匹老马高价出售！	《韩非子·说林上》中记载：齐桓公应燕国的要求，出兵攻打入侵燕国的山戎。齐军回程的时候却迷路了，管仲建议放出老马，让部队跟随老马找到了出路。在山中找不到水，隰朋又说如果有一寸高的蚁穴，向下挖八尺就会有水。果真，士兵们照做之后就挖出了水。	UITexture/RegionEventPic/32		1	331	332	333
34		惊弓之鸟	魏国的更羸是神箭手，据说只要拉动一下弓弦，就能把天上的鸟儿吓得掉下来，他正在前面表演箭术！	更羸告诉魏王他可以不射中鸟就让鸟掉下来，正巧有一只大雁从东方飞来。更羸随便射了一箭，大雁就掉了下来。更羸声称这只鸟飞得慢叫声又凄厉，必然是长期离群的还受了伤的鸟，内心自然无比脆弱。它一听到弓弦的声音就惊恐无比拼命向上飞，引起旧伤迸裂，于是掉了下来。但是实际上这个故事真实性存疑，因为已经受伤还能缓慢飞行的鸟是不太可能找到的。	UITexture/RegionEventPic/33		1	341	342	343
35		胡服骑射	赵武灵王推行胡服骑射，要求手下穿胡人的衣服，练习骑马射箭。我们城内不少年轻人崇拜赵武灵王，正聚集在城外骑马狂奔！	战国时期赵武灵王即位，赵国国势衰微，常遭进犯。穷则思变，赵武灵王发现常常犯边的胡人在军事方面有一些特别之处：窄袖短袄，骑马射箭。这些特点令他们的部队十分灵活机动。于是赵武灵王克服重重阻力，下令效仿胡人进行“胡服骑射”的改革。有这样一个贤明的君主，赵国很快恢复，国力也蒸蒸日上。	UITexture/RegionEventPic/35		1	351	352	353
36		负荆请罪	听说廉颇讨厌蔺相如，总是多方刁难，但蔺相如一直礼让。廉颇得知蔺相如不跟自己计较，光着膀子去请罪，结果吓坏了路人，差点被城内士兵抓起来！	蔺相如因为“完璧归赵”有功而被封为上卿，位在廉颇之上。廉颇很不服气，扬言要当面羞辱蔺相如。蔺相如得知后，尽量回避、容让，不与廉颇发生冲突。蔺相如的门客以为他畏惧廉颇，然而蔺相如说：“秦国不敢侵略我们赵国，是因为有我和廉将军。我对廉将军容忍、退让，是把国家的危难放在前面，把个人的私仇放在后面啊！”这话传到廉颇耳中。廉颇赤裸上身背着荆条到蔺相如门上赔礼。这也就是所谓“将相和”的故事	UITexture/RegionEventPic/36		2	361	362	
37		得鱼忘荃	一名年轻人在河边钓鱼，离开时只把鱼带走，将渔具都丢了下来。一位老人捡到渔具，希望你能帮忙处理。	《庄子.外物》中记载，一名渔夫到河边捕鱼，他把竹器筌投进水里，全神贯注观看浮标，终于一条红鲢鱼上筌了。他十分高兴取下鱼把筌抛在一边，快步回家吹嘘自己的功劳。妻子说这是筌的功劳，问他筌到哪里去了，渔夫这才想起忘记带筌回家了。	UITexture/RegionEventPic/37		2	371	372	
38		呆若木鸡	齐王喜欢斗鸡，请纪渻子为他养鸡。纪渻子把鸡训练的没有任何感情，如木头人一般无所畏忌，战斗力大大提升。听说纪渻子就在附近！	纪渻子为齐王养鸡，经历了三十天的训练之后，这批斗鸡遇到其他鸡啼叫也不会有反应了，精神完全收敛仿佛木头打造的一样，一般的斗鸡根本不敢应战。所以虽然呆若木鸡现在是用来形容人被惊呆了之后的状态，最初却是战斗力的代名词。	UITexture/RegionEventPic/38		2	381	382	
39		班荆道故	楚国的伍参与蔡国的子朝是好朋友，伍举因岳父犯罪而逃到我们城外，与子朝相见，两人将路边荆草拔下来，坐着交谈，我们要怎么做？	楚国的伍参与蔡国的子朝是好朋友，伍参儿子伍举与子朝的儿子声子也是好朋友。伍举因楚国内部斗争而外逃，与声子相见，他们马上拔下路边的荆草铺在地上相对而坐，互相倾诉衷肠。	UITexture/RegionEventPic/39		2	391	392	393
40		图穷匕见	荆轲前去刺杀秦王，把匕首藏在地图里。随着地图展开，匕首慢慢出现。秦王大惊失色，仓惶逃走。刺客纷纷效仿，也把武器藏在地图里。	战国时，荆轲奉燕国太子之命去刺秦王，以献燕国督亢的地图为名，预先把匕首卷在图里，到了秦王座前，慢慢把地图展开，最后露出匕首。其实古代的朝见制度十分复杂，荆轲的地图一般由专门的人交给秦王，他很难用这种方式刺杀秦王。	UITexture/RegionEventPic/40		1	401	402	
41		邯郸学步	一名男子喜欢邯郸人走路的样子，努力模仿他们，结果裤子裂开了。现在，他又在前面的山里，学猴子爬树。	出自《庄子.秋水》中的故事：战国时期，燕国寿陵有个少年，听说赵国邯郸人走路的姿式很漂亮，便来到邯郸学习邯郸人走路。结果，他不但没有学到赵国人走路的姿势，还把自己原来走路的姿势也忘记了，最后只好爬着回去。	UITexture/RegionEventPic/41		2	411	412	
42		两桃三士	齐国公孙接、田开疆、古冶子三人持宠骄横，四处为祸。晏子设局，用两个桃子分化三人，三人为争夺桃子而争斗，最终灭亡。	《晏子春秋》中记载，齐景公旗下三员大将：公孙接、田开疆、古冶子战功不凡却也仗着功劳飞扬跋扈。晏子为避免未来可能造成的祸害，建议齐景公早日除掉祸患。晏子设了一个局：将两个桃子赐给三人，功劳大的取。三人因为这两个桃子的归属发生了剧烈的争执，纷纷身死。就这样，只靠着两颗桃子，兵不血刃地去掉三个威胁。	UITexture/RegionEventPic/42		2	421	422	423
43		亡羊补牢	附近山村一名少年家的羊圈破了，羊因此逃走。少年得知后十分伤心，但仍坚持将羊圈修补好，其他邻居都嘲笑他。	春秋时期楚襄王即位后重用奸臣，政治腐败。大臣庄辛劝诫他却遭到了猜忌。庄辛前往赵国避难，没过五个月楚国就被秦国打到了国都，楚襄王十分悔恨，派人将庄辛请回来。庄辛给他讲了一个故事：有一个人养了一圈羊。一天早上他发现少了一只羊，原来是羊圈破了个窟窿，羊被狼叼走了。邻居劝他把窟窿补上他却不以为意。结果第二天狼又叼走了一只羊。这下他很后悔没有听邻居的话，赶紧补上窟窿，羊再也没有少。楚襄王听了这个故事后励精图治，按照庄辛的建议进行补救，终于度过了危机，振兴了楚国。	UITexture/RegionEventPic/43		1	431	432	
44		投桃报李	听说山上有两片果园，分别种着桃子和李子。两位邻居关系和睦，互相投桃报李，将果园经营的十分妥善。	出自于《诗经.大雅.抑》中的诗句：“投我以桃，报之以李。”西周初期的周公也曾经以“投桃报李”的典故勉励自己成为臣民的榜样。又有《卫风》中的说法“投我以木瓜，报之以琼瑶。”简称为“投木报琼”，不过使用频率不如“投桃报李”。	UITexture/RegionEventPic/44		1	441	442	
45		坐怀不乱	齐国的柳下惠是个很有操守的人，据说前两天他在前面的山庙里遇到一名瑟瑟发抖的女子，抱着女子坐了一夜，没有丝毫僭越的行为。	相传在一个寒冷的夜晚，柳下惠宿于郭门，有一个没有住处的妇子来投宿，柳下惠恐她冻死，叫她坐在怀里，解开外衣把她裹紧，同坐了一夜，并没发生非礼行为。于是柳下惠就被誉为“坐怀不乱”的正人君子。	UITexture/RegionEventPic/45		1	451	452	
46		杞人忧天	杞国有一个家伙总是喜欢胡思乱想，担心天会掉下来，号召众人挖地洞躲藏。最近他又老在河边发呆，担心有一天世界会被海水淹没。	杞国有个人担心天会塌、地会陷，自己无处依托，便食不下咽，寝不安席。另外又有个人为这个杞国人的忧愁而忧愁，就去开导他。费尽口舌，才叫这个杞国人放心。这位劝导者着实是真爱了。	UITexture/RegionEventPic/46		2	461	462	
