key值	value值
Second	秒
Minute	分钟
Hour	小时
TimeReset	每日%s重置
MaxLevel	等级已满
Level	等级：
Level_1	%d级
Level_2	等级
Exp	经验
Exp_1	经验+%d
Tower	千重楼：
MaincityLv	城池等级：
Rank	军衔：
Guild	联盟：
Rate	%d倍
Upgrade	升级
ColorRed	[color=#ff0000]%s[/color]
ReLogin	与服务器断开连接，请重新登录。
ReConnect	您的网络环境不畅，是否重新连接？
ConnectError	网络异常:
Login404	用户名长度非法！
Login405	"密码长度非法,sha1 hash过的必须是40"
Login406	用户名已存在！
Login500	服务器内部错误
Login501	服务器内部错误
Server401	未登录
Server402	"登录的e或m非法,请重新登录"
Server403	"登录过期,请重新登录。"
Server201	您希望登陆的服务器暂未开放。
Server202	当前服务器爆满，暂停注册功能。
Utils_IsNotChinese	请输入中文
Utils_IsSensitiveWord	您输入的信息含有敏感词，请重新输入。
Utils_NameIsTooShort	名字过短。
Utils_NameIsTooLong	名字过长。
Utils_IsNotLegalName	请确认输入信息中只含有简体中文、数字、字母。
TowerCaptainTroopCount_1	当前千重楼上阵武将个数限制为%d
TowerCaptainTroopCount_2	要求武将上阵个数%d
AccountIdLenShort	账户id过短！
AccountIdLenLong	账户id过长！
PasswardError	密码不能为空！
RoleNameLenLong	角色名过长
RoleNameLenShort	角色名过短
ContainsSensitiveWords	含有敏感词
BagResourceItemUseFail	仓库已满，请清理空间后使用。
BagSelectedItemEmpty	选中道具个数不可为0。
CaptainNumZero	尚无武将，请先获得武将。
CaptainPartEmpty_1	该槽位无对应装备。
CaptainPartEmpty_2	该槽位无对应装备，无法执行卸下操作。
CaptainOutSide	出征中！
CaptainInTroop	已上阵！
CaptainInTroop_2	已上阵
ItemNotEnough	道具数量不足。
TroopNoSpare	当前已无空余槽位。
TroopCaptainNum_1	"阵中无武将,请先将武将上阵！"
TroopCaptainNum_2	武将带兵数不能为0！
TowerMoopingupDesc_1	扫荡总计将获得海量的武将经验和奖励。\n此外，还可获得额外宝箱。\n本次可以扫荡%d层。
TowerMoopingupDesc_2	扫荡总计将获得海量的武将经验和奖励。\n此外，还可获得额外宝箱。\n%d层未获得“完胜”评价\n本次可以扫荡%d层。
TowerFloorAward	%d层奖励
TowerCurFloor_1	当前第%d层
TowerCurFloor_2	第%d层
TowerFloorButtom	已至最低层。
TowerFloorTop	已至最高层。
TowerNoNumOfChallenges	无挑战次数！
TowerNoBoxReceive	暂无可领取宝箱。
TowerTroopCaptainNum_1	当前千重楼上阵武将个数限制为%d
TowerTroopCaptainNum_2	要求武将上阵个数%d
ChatPannelWorld	世界聊天频道
ChatPannelGuild	联盟聊天频道
ChatPannelFirend	好友聊天频道
ChatPannelOpposite	对立聊天频道
ChatMsgEmpty	发送信息不能为空。
ChatMsgFast	聊天速度过快，先喝杯茶休息一下。
ChatMsgLimit	今日发送消息数量已达上限。
EquipProperty	%s%d[color=#00CC00]+%d[/color]
CaptainTaoZEquip	%d件装备强化%d次
CaptainTaoZMorale	武将士气+%d
WorldMapNavMiles	%d公里
TaskPrefixMain	[size=34][color=#FFFFFF][主][/color][/size]
TaskPrefixBranch	[size=34][color=#FFFFFF][支][/color][/size]
MainTaskCompletedColor	[color=#2AF038]%s[/color]
MainTaskInProgressColor	[color=#FFFFFF]%s[/color]
SoliderRaceType1	步兵
SoliderRaceType2	骑兵
SoliderRaceType3	弓兵
SoliderRaceType4	车兵
SoliderRaceType5	器兵
CaptainRaceType1	步将
CaptainRaceType2	骑将
CaptainRaceType3	弓将
CaptainRaceType4	车将
CaptainRaceType5	器将
BattleCpatainTips	[size=26][color=#%s]%s[/color][/size]\n[size=24]等级:%d级[/size]\n%d阶%s:%s
SmithyRebuild	重铸
SmithySmelt	熔炼
SmithyMeltedDesc	提示：熔炼装备获得七星沙，并且返还所有升级和强化的材料。重铸装备使装备变为1级零强化状态，返还所有升级和强化的材料。
SmithySelectedNone	未选中任何装备！
SmithyRebuildNone	没有可重铸的装备！
AllianceLevel	外史院：%d级
AllianceJoined	您已加入联盟%s
AllianceOtherJoined	玩家%s加入联盟
AllianceLeave	您已退出了联盟
AllianceOtherLeave	玩家%s退出了联盟
AllianceBeKicked	您已被踢出联盟
AllianceOtherBeKicked	玩家%s被踢出联盟
AllianceName	联盟名称
AllianceFlagName	联盟旗号
AllianceNameEmpty	联盟名称不可为空
AllianceFlagNameEmpty	联盟旗号不可为空
AllianceDeclarationEmpty	这个盟主有点懒
AllianceDeclarationMaximumInvalid	只能输入数字、中文、字母，并且最多只能输入256个字符
AllianceMemberOnline	[color=##5AFF79]在线[/color]
AllianceMemberOffline	[color=##666666]离线%s[/color]
AllianceUpdateText	盟主更新了宣言
InputContentLenghtInvalid	%s只可输入%d - %d个字符
Cancel	取消
Confirm	确认
TavernConvert	兑换武将获得：
FireGeneral	是否解雇该武将？解雇后获得以下道具
ConfirmExileState	您的城池已流亡，点击确认将随机重建
Quality0	白色
Quality1	绿色
Quality2	蓝色
Quality3	紫色
Quality4	橙色
Quality5	红色
Day	天:
MinutesAgo	分钟前
HoursAgo	小时前
DaysAgo	天前
FightAmount	战斗力：
Monarch	君主
Version	版本
MainCityLevel	主城等级
Unequipped	无装备
Attack	攻击
Defense	防御
Strength	强壮
Dexterity	灵敏
