NpcId	CotentId	Content
NpcId	CotentId	Content
1	1	这里就是我们的家园。
1	2	我还是第一次住在这么漂亮的城池里。
1	3	今天又看见伟大的城主大人了！
2	1	邻居的老宋好坏啊，一直看着我~
2	2	好闲啊，做点什么好呢？
2	3	开饭啦，回家吃饭了~
3	1	最近城里突然变得热闹起来了。
3	2	街道行人越来越多了。
3	3	城主大人又年轻，又可靠。
4	1	隔壁的老朱老是偷偷地看着我~
4	2	对面的小妹妹长得真漂亮啊！
4	3	城里美女如云哟~
5	1	这里就是我们的家园。
5	2	我还是第一次住在这么漂亮的城池里。
5	3	今天又看见伟大的城主大人了！
6	1	邻居的老宋好坏啊，一直看着我~
6	2	好闲啊，做点什么好呢？
6	3	开饭啦，回家吃饭了~
7	1	最近城里突然变得热闹起来了。
7	2	街道行人越来越多了。
7	3	城主大人又年轻，又可靠。
8	1	隔壁的老朱老是偷偷地看着我~
8	2	对面的小妹妹长得真漂亮啊！
8	3	城里美女如云哟~
9	1	这里就是我们的家园。
9	2	我还是第一次住在这么漂亮的城池里。
9	3	今天又看见伟大的城主大人了！
10	1	邻居的老宋好坏啊，一直看着我~
10	2	好闲啊，做点什么好呢？
10	3	开饭啦，回家吃饭了~
11	1	最近城里突然变得热闹起来了。
11	2	街道行人越来越多了。
11	3	城主大人又年轻，又可靠。
12	1	隔壁的老朱老是偷偷地看着我~
12	2	对面的小妹妹长得真漂亮啊！
12	3	城里美女如云哟~
13	1	这里就是我们的家园。
13	2	我还是第一次住在这么漂亮的城池里。
13	3	今天又看见伟大的城主大人了！
14	1	邻居的老宋好坏啊，一直看着我~
14	2	好闲啊，做点什么好呢？
14	3	开饭啦，回家吃饭了~
15	1	最近城里突然变得热闹起来了。
15	2	街道行人越来越多了。
15	3	城主大人又年轻，又可靠。
16	1	隔壁的老朱老是偷偷地看着我~
16	2	对面的小妹妹长得真漂亮啊！
16	3	城里美女如云哟~
17	1	这里就是我们的家园。
17	2	我还是第一次住在这么漂亮的城池里。
17	3	今天又看见伟大的城主大人了！
18	1	邻居的老宋好坏啊，一直看着我~
18	2	好闲啊，做点什么好呢？
18	3	开饭啦，回家吃饭了~
19	1	最近城里突然变得热闹起来了。
19	2	街道行人越来越多了。
19	3	城主大人又年轻，又可靠。
20	1	隔壁的老朱老是偷偷地看着我~
20	2	对面的小妹妹长得真漂亮啊！
20	3	城里美女如云哟~
21	1	这里就是我们的家园。
21	2	我还是第一次住在这么漂亮的城池里。
21	3	今天又看见伟大的城主大人了！
22	1	邻居的老宋好坏啊，一直看着我~
22	2	好闲啊，做点什么好呢？
22	3	开饭啦，回家吃饭了~
23	1	最近城里突然变得热闹起来了。
23	2	街道行人越来越多了。
23	3	城主大人又年轻，又可靠。
99	1	别点了，再点人家就晕了。
99	2	回家吃饭了，一会再聊~
99	3	一二三四木头人，不许说话不许动~
99	4	你说的我都知道了，不用重复了。
99	5	打雷了，下雨了，收衣服啦~
